Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,country_raw,country_std,First announced_parsed,event_date,month_start,sector_raw,sector_std,country_iso3,mapping_confidence
Economy,Afghanistan,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Afghanistan,AFGHANISTAN,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,AFG,high
Economy,Algeria,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,Algeria,ALGERIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,DZA,high
Economy,Angola,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Angola,ANGOLA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,AGO,high
Economy,Argentina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,Argentina,ARGENTINA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ARG,high
Economy,Australia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,Australia,AUSTRALIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,AUS,high
Economy,Bangladesh,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Bangladesh,BANGLADESH,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BGD,high
Economy,Bolivia,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,EO 14326,,,,Bolivia,BOLIVIA,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BOL,high
Economy,Bosnia and Herzegovina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BIH,high
Economy,Botswana,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Botswana,BOTSWANA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BWA,high
Economy,Brazil,Government of Brazil policies,7/30/2025,8/6/2025,IEEPA,40%,EO 14323,,,,,,,Brazil,BRAZIL,2025-07-30,2025-08-06,2025-08-01,Government of Brazil policies,OTHER,BRA,high
Economy,Brazil,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Brazil,BRAZIL,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BRA,high
Economy,Brazil,Unfair trade practices,7/15/2025,TBD,Section 301,TBD,USTR Press Release,90 FR 34069,,,,,,Brazil,BRAZIL,2025-07-15,,2025-07-01,Unfair trade practices,OTHER,BRA,high
Economy,Brazil,Government of Brazil policies - agricultural exemptions,11/20/2025,11/13/2025,IEEPA,0% (exempt from 40%),White House Tariff Modification,,,,,,,Brazil,BRAZIL,2025-11-20,2025-11-13,2025-11-01,Government of Brazil policies - agricultural exemptions,AGRICULTURE,BRA,high
Economy,Brunei,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Brunei,BRUNEI,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,BRN,high
Economy,Cambodia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Cambodia,CAMBODIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,KHM,high
Economy,Cameroon,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Cameroon,CAMEROON,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,CMR,high
Economy,Canada,USMCA noncompliant goods,2/1/2025,3/4/2025,IEEPA,25%,White House Fact Sheet,,,,,,,Canada,CANADA,2025-02-01,2025-03-04,2025-03-01,USMCA noncompliant goods,OTHER,CAN,high
Economy,Canada,USMCA noncompliant energy products,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,,Canada,CANADA,2025-02-01,2025-03-04,2025-03-01,USMCA noncompliant energy products,ENERGY,CAN,high
Economy,Canada,USMCA noncompliant potash,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,,Canada,CANADA,2025-02-01,2025-03-04,2025-03-01,USMCA noncompliant potash,OTHER,CAN,high
Economy,Canada,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,Canada,CANADA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,CAN,high
Economy,Canada,Non-reciprocal trade: Individual rate,2/21/2025,TBD,Section 301,TBD,White House Fact Sheet,,,,,,,Canada,CANADA,2025-02-21,,2025-02-01,Non-reciprocal trade: Individual rate,GENERAL,CAN,high
Economy,Chad,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Chad,CHAD,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,TCD,high
Economy,China,Non-reciprocal trade: Individual rate,4/2/2025,11/10/2026,IEEPA,34%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,China,CHINA,2025-04-02,2026-11-10,2026-11-01,Non-reciprocal trade: Individual rate,GENERAL,CHN,high
Economy,China,Non-reciprocal trade: 90-day pause,5/12/2025,5/14/2025,IEEPA,10%,White House Announcement,,,,,,,China,CHINA,2025-05-12,2025-05-14,2025-05-01,Non-reciprocal trade: 90-day pause,GENERAL,CHN,high
Economy,China,Synthetic opioids,2/1/2025,11/10/2025,IEEPA,10%,EO 14195,EO 14228,White House Fact Sheet,,,,,China,CHINA,2025-02-01,2025-11-10,2025-11-01,Synthetic opioids,OTHER,CHN,high
Economy,China,Low value imports (≤$800),2/1/2025,5/2/2025,IEEPA,120% or $100 per item; other duties do not apply,EO 14195,EO 14228,EO 14257,EO 14200,EO 14256,EO 14259,,China,CHINA,2025-02-01,2025-05-02,2025-05-01,Low value imports (≤$800),MARITIME,CHN,high
Economy,China,Modified: Low value imports (≤$800),5/12/2025,5/14/2025,IEEPA,120% or $100 per item; other duties do not apply,EO 14195,EO 14228,EO 14257,EO 14200,EO 14256,EO 14259,Executive Order,China,CHINA,2025-05-12,2025-05-14,2025-05-01,Modified: Low value imports (≤$800),MARITIME,CHN,high
Economy,Costa Rica,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Costa Rica,COSTA RICA,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,CRI,high
