year,CTY_CODE,CTYNAME,country_raw,country_std,imports,month_num,exports,month_start,IYR,EYR,country_iso3,mapping_confidence
2024,3,European Union,European Union,EU,52717.739457,11,32420.049420000003,2024-11-01,605663.2176800001,369789.330661,EUU,pseudo
2024,3,European Union,European Union,EU,50059.806483000015,12,28137.101185000003,2024-12-01,605663.2176800001,369789.330661,EUU,pseudo
2024,4,"World, Seasonally Adjusted","World, Seasonally Adjusted",WORLD SEASONALLY ADJUSTED,280404.36263185856,11,174259.55981522842,2024-11-01,3266410.195321,2061690.757601,,unmapped
2024,4,"World, Seasonally Adjusted","World, Seasonally Adjusted",WORLD SEASONALLY ADJUSTED,290890.3343482539,12,168635.53603617504,2024-12-01,3266410.195321,2061690.757601,,unmapped
2024,7,Advanced Technology Products,Advanced Technology Products,ADVANCED TECHNOLOGY PRODUCTS,69104.809422,11,39888.676665,2024-11-01,763388.823233,466172.161467,,unmapped
2024,7,Advanced Technology Products,Advanced Technology Products,ADVANCED TECHNOLOGY PRODUCTS,68539.369491,12,38477.825705,2024-12-01,763388.823233,466172.161467,,unmapped
2024,9,South and Central America,South and Central America,SOUTH AND CENTRAL AMERICA,13681.97474,11,18348.428981,2024-11-01,159052.564811,204575.704812,,region
2024,9,South and Central America,South and Central America,SOUTH AND CENTRAL AMERICA,14219.282125000002,12,17537.292204999994,2024-12-01,159052.564811,204575.704812,,region
2024,10,North America,North America,NORTH AMERICA,75742.13285,11,55598.234204,2024-11-01,917409.857893,683940.083473,,region
2024,10,North America,North America,NORTH AMERICA,74779.173187,12,51534.438094,2024-12-01,917409.857893,683940.083473,,region
2024,12,Europe,Europe,EUROPE,67048.33586,11,43501.221605000006,2024-11-01,770782.051188,502853.09365800006,,unmapped
2024,12,Europe,Europe,EUROPE,73053.613336,12,39575.821285,2024-12-01,770782.051188,502853.09365800006,,unmapped
2024,13,Africa,Africa,AFRICA,2941.5372210000005,11,3013.514949,2024-11-01,39582.330445,32374.589622,,region
2024,13,Africa,Africa,AFRICA,3553.017368,12,3292.6397580000007,2024-12-01,39582.330445,32374.589622,,region
2024,14,Pacific Rim,Pacific Rim,PACIFIC RIM,83506.863283,11,40810.433876,2024-11-01,1001462.980385,489840.331482,,unmapped
2024,14,Pacific Rim,Pacific Rim,PACIFIC RIM,87496.05502,12,40291.644251000005,2024-12-01,1001462.980385,489840.331482,,unmapped
2024,15,"World, Not Seasonally Adjusted","World, Not Seasonally Adjusted",WORLD NOT SEASONALLY ADJUSTED,274312.32067100017,11,174038.44787199987,2024-11-01,3266410.195321,2061690.757601,,unmapped
2024,15,"World, Not Seasonally Adjusted","World, Not Seasonally Adjusted",WORLD NOT SEASONALLY ADJUSTED,284911.22075900005,12,165358.30060599995,2024-12-01,3266410.195321,2061690.757601,,unmapped
2024,16,Asia,Asia,ASIA,113120.142555,11,49966.692616,2024-11-01,1356794.135826,598178.612851,,region
2024,16,Asia,Asia,ASIA,116446.694324,12,50251.00701000001,2024-12-01,1356794.135826,598178.612851,,region
2024,17,CAFTA-DR,CAFTA-DR,CAFTA DR,2924.6794590000004,11,3965.911845,2024-11-01,36606.997302,46743.483109,,region
2024,17,CAFTA-DR,CAFTA-DR,CAFTA DR,3204.68763,12,3807.996324,2024-12-01,36606.997302,46743.483109,,region
2024,18,Australia and Oceania,Australia and Oceania,AUSTRALIA AND OCEANIA,1775.1263819999997,11,3609.418347,2024-11-01,22753.233954,39720.295163,,region
2024,18,Australia and Oceania,Australia and Oceania,AUSTRALIA AND OCEANIA,2852.8210309999995,12,3162.971003,2024-12-01,22753.233954,39720.295163,,region
2024,19,Sub Saharan Africa,Sub Saharan Africa,SUB SAHARAN AFRICA,2353.38837,11,1569.2572410000005,2024-11-01,30027.412123,18672.711126,,region
2024,19,Sub Saharan Africa,Sub Saharan Africa,SUB SAHARAN AFRICA,2740.190203,12,1671.7287080000003,2024-12-01,30027.412123,18672.711126,,region
2024,21,USMCA with Mexico (Consump),USMCA with Mexico (Consump),USMCA WITH MEXICO CONSUMP,20668.75828,11,0.0,2024-11-01,248711.9833,0.0,,unmapped
2024,21,USMCA with Mexico (Consump),USMCA with Mexico (Consump),USMCA WITH MEXICO CONSUMP,18980.98631,12,0.0,2024-12-01,248711.9833,0.0,,unmapped
2024,22,USMCA with Canada (Consump),USMCA with Canada (Consump),USMCA WITH CANADA CONSUMP,12587.83591,11,7985.273323,2024-11-01,156511.5839,102587.86083900002,,unmapped
2024,22,USMCA with Canada (Consump),USMCA with Canada (Consump),USMCA WITH CANADA CONSUMP,12576.34309,12,6745.819413,2024-12-01,156511.5839,102587.86083900002,,unmapped
2024,1010,Greenland,Greenland,GREENLAND,3.071063,11,0.93717,2024-11-01,32.585481,48.326853,GRL,high
2024,1010,Greenland,Greenland,GREENLAND,6.619388,12,4.131251,2024-12-01,32.585481,48.326853,GRL,high
2024,1220,Canada,Canada,CANADA,33499.439809,11,28646.016029,2024-11-01,411886.683368,349908.153123,CAN,high
2024,1220,Canada,Canada,CANADA,35560.553402,12,26963.52977,2024-12-01,411886.683368,349908.153123,CAN,high
2024,1610,St Pierre and Miquelon,St Pierre and Miquelon,ST PIERRE AND MIQUELON,0.0,11,0.0,2024-11-01,3.435723,0.051169,,unmapped
2024,1610,St Pierre and Miquelon,St Pierre and Miquelon,ST PIERRE AND MIQUELON,0.0,12,0.0,2024-12-01,3.435723,0.051169,,unmapped
2024,2010,Mexico,Mexico,MEXICO,42242.693041,11,26952.218175,2024-11-01,505523.174525,334031.93035,MEX,high
2024,2010,Mexico,Mexico,MEXICO,39218.619785,12,24570.908324,2024-12-01,505523.174525,334031.93035,MEX,high
2024,2050,Guatemala,Guatemala,GUATEMALA,337.273931,11,835.516737,2024-11-01,5017.519908,9708.139558,GTM,high
2024,2050,Guatemala,Guatemala,GUATEMALA,423.021873,12,888.867132,2024-12-01,5017.519908,9708.139558,GTM,high
2024,2080,Belize,Belize,BELIZE,3.915272,11,59.939976,2024-11-01,81.128498,598.6630380000001,BLZ,high
2024,2080,Belize,Belize,BELIZE,4.181614,12,37.68605,2024-12-01,81.128498,598.6630380000001,BLZ,high
2024,2110,El Salvador,El Salvador,EL SALVADOR,189.60811,11,376.329822,2024-11-01,2310.594296,4542.903686,SLV,high
2024,2110,El Salvador,El Salvador,EL SALVADOR,182.609609,12,382.309125,2024-12-01,2310.594296,4542.903686,SLV,high
