country,sector,month_start,y,trade_deficit,imports,exports,trade_deficit_3m_mean,trade_deficit_3m_change,fx_usd,fx_3m_mean,fx_3m_std,gscpi,gscpi_3m_mean,manuf_M_MHT,manuf_M_Manuf,manuf_M_T,manuf_X_MHT,manuf_X_Manuf,manuf_X_T,pol_risk_score,pol_risk_3m_change,unrate,unrate_3m_mean,month_of_year,months_since_start
AFGHANISTAN,General,2020-01-01,0,-56.486233999999996,2.275711,58.761945,-68.73138899999996,2.9333560000000034,,,,0.06,0.08333333333333348,,,,,,,,,,,1,0
AFGHANISTAN,General,2020-02-01,0,-81.974809,1.520881,83.49569,-76.90154199999996,-24.510458999999997,,,,1.31,0.4700000000000002,,,,,,,,,,,2,1
AFGHANISTAN,General,2020-03-01,0,-38.69252,1.736881,40.429401,-59.051187666666635,53.551063,,,,2.67,1.346666666666667,,,,,,,,,,,3,2
AFGHANISTAN,General,2020-04-01,0,-59.682278999999994,1.10502,60.787299,-60.11653599999997,-3.196044999999998,,,,3.38,2.4533333333333336,,,,,,,,,,,4,3
AFGHANISTAN,General,2020-05-01,0,-47.253271000000005,0.590472,47.843743,-48.54268999999997,34.72153799999999,,,,2.57,2.8733333333333335,,,,,,,,,,,5,4
AFGHANISTAN,General,2020-06-01,0,-78.437207,1.425891,79.863098,-61.790918999999974,-39.744687,,,,2.27,2.74,,,,,,,,,,,6,5
AFGHANISTAN,General,2020-07-01,0,-44.90176,0.81484,45.7166,-56.86407933333331,14.780518999999991,,,,2.97,2.6033333333333335,,,,,,,,,,,7,6
AFGHANISTAN,General,2020-08-01,0,-98.40982600000001,0.914976,99.324802,-73.9162643333333,-51.156555000000004,,,,1.49,2.2433333333333336,,,,,,,,,,,8,7
AFGHANISTAN,General,2020-09-01,0,-47.284758,1.222394,48.507152,-63.532114666666644,31.152449000000004,,,,0.63,1.696666666666667,,,,,,,,,,,9,8
AFGHANISTAN,General,2020-10-01,0,-44.389038,2.10092,46.489958,-63.36120733333331,0.5127220000000037,,,,0.11,0.7433333333333335,,,,,,,,,,,10,9
AFGHANISTAN,General,2020-11-01,0,-33.467575,2.995809,36.463384,-41.7137903333333,64.94225100000001,,,,0.78,0.5066666666666668,,,,,,,,,,,11,10
AFGHANISTAN,General,2020-12-01,0,-24.015249,1.653433,25.668682,-33.957287333333305,23.269508999999996,,,,1.72,0.8700000000000001,,,,,,,,,6.7,6.7,12,11
AFGHANISTAN,General,2021-01-01,0,-13.525767,1.901555,15.427322,-23.669530333333302,30.863270999999997,,,,1.38,1.2933333333333337,,,,,,,,,6.4,6.550000000000001,1,12
AFGHANISTAN,General,2021-02-01,0,-116.142293,1.390679,117.532972,-51.22776966666663,-82.674718,,,,2.01,1.7033333333333334,,,,,,,,,6.2,6.433333333333334,2,13
AFGHANISTAN,General,2021-03-01,0,-48.133869999999995,2.338706,50.472576,-59.26730999999996,-24.118620999999994,,,,2.33,1.906666666666667,,,,,,,,,6.1,6.233333333333334,3,14
AFGHANISTAN,General,2021-04-01,0,-14.022610000000002,2.855084,16.877694,-59.4329243333333,-0.4968430000000019,,,,2.82,2.3866666666666667,,,,,,,,,6.1,6.133333333333333,4,15
AFGHANISTAN,General,2021-05-01,0,-11.233046000000002,3.06825,14.301296,-24.463175333333307,104.909247,,,,3.1,2.75,,,,,,,,,5.8,6.0,5,16
AFGHANISTAN,General,2021-06-01,0,-3.4240569999999995,1.683785,5.107842,-9.559904333333305,44.709813,,,,2.83,2.9166666666666665,,,,,,,,,5.9,5.933333333333334,6,17
AFGHANISTAN,General,2021-07-01,0,-6.714779000000001,1.919085,8.633864,-7.1239606666666395,7.307831000000001,,,,3.01,2.9800000000000004,,,,,,,,,5.4,5.7,7,18
AFGHANISTAN,General,2021-08-01,0,-1.4745400000000002,1.43295,2.90749,-3.871125333333305,9.758506,,,,3.38,3.0733333333333337,,,,,,,,,5.1,5.466666666666666,8,19
