Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,,,,,,
Economy,Afghanistan,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,
Economy,Algeria,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Angola,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Argentina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Australia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Bangladesh,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Bolivia,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,EO 14326,,,
Economy,Bosnia and Herzegovina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Botswana,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Brazil,Government of Brazil policies,7/30/2025,8/6/2025,IEEPA,40%,EO 14323,,,,,,
Economy,Brazil,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Brazil,Unfair trade practices,7/15/2025,TBD,Section 301,TBD,USTR Press Release,90 FR 34069,,,,,
Economy,Brazil,Government of Brazil policies - agricultural exemptions,11/20/2025,11/13/2025,IEEPA,0% (exempt from 40%),White House Tariff Modification,,,,,,
Economy,Brunei,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Cambodia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Cameroon,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Canada,USMCA noncompliant goods,2/1/2025,3/4/2025,IEEPA,25%,White House Fact Sheet,,,,,,
Economy,Canada,USMCA noncompliant energy products,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Canada,USMCA noncompliant potash,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Canada,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Canada,Non-reciprocal trade: Individual rate,2/21/2025,TBD,Section 301,TBD,White House Fact Sheet,,,,,,
Economy,Chad,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,China,Non-reciprocal trade: Individual rate,4/2/2025,11/10/2026,IEEPA,34%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,China,Non-reciprocal trade: 90-day pause,5/12/2025,5/14/2025,IEEPA,10%,White House Announcement,,,,,,
Economy,China,Synthetic opioids,2/1/2025,11/10/2025,IEEPA,10%,EO 14195,EO 14228,White House Fact Sheet,,,,
Economy,China,Low value imports (≤$800),2/1/2025,5/2/2025,IEEPA,120% or $100 per item; other duties do not apply,EO 14195,EO 14228,EO 14257,EO 14200,EO 14256,EO 14259,
Economy,China,Modified: Low value imports (≤$800),5/12/2025,5/14/2025,IEEPA,120% or $100 per item; other duties do not apply,EO 14195,EO 14228,EO 14257,EO 14200,EO 14256,EO 14259,Executive Order
Economy,Costa Rica,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,
