"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","KGZ.XDC_XDR.PA_RT.Q","OBS_VALUE","Kyrgyz Republic","Domestic currency per SDR","Period average","Quarterly","Units","","114.4906527248011","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_EUR.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","90.886785","91.04388267","93.4416","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_XDR.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","114.019510439728","114.4719480587481","114.7992740008876","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.USD_XDC.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.01143510577472842","0.01143514500335622","0.01157407407407407","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.EUR_XDC.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.01100269967740635","0.01098371434382501","0.01070187154329549","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.EUR_XDC.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.01070187154329549","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_EUR.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","93.4416","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDR_XDC.PA_RT.Q","OBS_VALUE","Kyrgyz Republic","SDR per domestic currency","Period average","Quarterly","Units","","0.008734337486953455","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_USD.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","86.4","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.USD_XDC.PA_RT.Q","OBS_VALUE","Kyrgyz Republic","US Dollar per domestic currency","Period average","Quarterly","Units","","0.01146437066058354","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_XDR.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","114.7992740008876","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_USD.PA_RT.Q","OBS_VALUE","Kyrgyz Republic","Domestic currency per US Dollar","Period average","Quarterly","Units","","87.2267680107527","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.USD_XDC.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.01157407407407407","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDR_XDC.EOP_RT.Q","OBS_VALUE","Kyrgyz Republic","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.008710856481481479","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDR_XDC.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.008770428816466558","0.008735764673863945","0.008710856481481479","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.USD_XDC.PA_RT.M","OBS_VALUE","Kyrgyz Republic","US Dollar per domestic currency","Period average","Monthly","Units","","","0.01145792314276491","0.01143510904377045","0.01150027036764657","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDR_XDC.PA_RT.M","OBS_VALUE","Kyrgyz Republic","SDR per domestic currency","Period average","Monthly","Units","","","0.008802862887087741","0.008743061592844102","0.008657769901942462","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_USD.PA_RT.M","OBS_VALUE","Kyrgyz Republic","Domestic currency per US Dollar","Period average","Monthly","Units","","","87.2758516129032","87.449975","86.9544774193549","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_XDR.PA_RT.M","OBS_VALUE","Kyrgyz Republic","Domestic currency per SDR","Period average","Monthly","Units","","","113.5994065597483","114.3764102975628","115.5031851534469","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KGZ.XDC_USD.EOP_RT.M","OBS_VALUE","Kyrgyz Republic","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","87.45","87.4497","86.4","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_XDR.PA_RT.Q","OBS_VALUE","Tanzania, United Republic of","Domestic currency per SDR","Period average","Quarterly","Units","","3337.037256956525","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_XDR.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","3521.009330098404","","","","","","","","","","","","","","","",""
