id,country,sector,sector_base_prob,country_multiplier,tariff_risk_prob,tariff_risk_pct
1,AFGHANISTAN,Aerospace,0.2174,1,0.2174,21.70%
2,AFGHANISTAN,Agriculture,0.5263,1,0.5263,52.60%
3,AFGHANISTAN,Automotive,0.262,1,0.262,26.20%
4,AFGHANISTAN,Energy,0.3861,1,0.3861,38.60%
5,AFGHANISTAN,Lumber,0.3205,1,0.3205,32.00%
6,AFGHANISTAN,Maritime,0.2481,1,0.2481,24.80%
7,AFGHANISTAN,Metals,0.3206,1,0.3206,32.10%
8,AFGHANISTAN,Minerals,0.3199,1,0.3199,32.00%
9,AFGHANISTAN,Pharmaceutical,0.3201,1,0.3201,32.00%
10,AFGHANISTAN,Semiconductor,0.3201,1,0.3201,32.00%
11,AFGHANISTAN,Steel & Aluminum,0.3208,1,0.3208,32.10%
12,ALGERIA,Aerospace,0.2174,1,0.2174,21.70%
13,ALGERIA,Agriculture,0.5263,1,0.5263,52.60%
14,ALGERIA,Automotive,0.262,1,0.262,26.20%
15,ALGERIA,Energy,0.3861,1,0.3861,38.60%
16,ALGERIA,Lumber,0.3205,1,0.3205,32.00%
17,ALGERIA,Maritime,0.2481,1,0.2481,24.80%
18,ALGERIA,Metals,0.3206,1,0.3206,32.10%
19,ALGERIA,Minerals,0.3199,1,0.3199,32.00%
20,ALGERIA,Pharmaceutical,0.3201,1,0.3201,32.00%
21,ALGERIA,Semiconductor,0.3201,1,0.3201,32.00%
22,ALGERIA,Steel & Aluminum,0.3208,1,0.3208,32.10%
23,ANGOLA,Aerospace,0.2174,1,0.2174,21.70%
24,ANGOLA,Agriculture,0.5263,1,0.5263,52.60%
25,ANGOLA,Automotive,0.262,1,0.262,26.20%
26,ANGOLA,Energy,0.3861,1,0.3861,38.60%
27,ANGOLA,Lumber,0.3205,1,0.3205,32.00%
28,ANGOLA,Maritime,0.2481,1,0.2481,24.80%
29,ANGOLA,Metals,0.3206,1,0.3206,32.10%
30,ANGOLA,Minerals,0.3199,1,0.3199,32.00%
31,ANGOLA,Pharmaceutical,0.3201,1,0.3201,32.00%
32,ANGOLA,Semiconductor,0.3201,1,0.3201,32.00%
33,ANGOLA,Steel & Aluminum,0.3208,1,0.3208,32.10%
34,ARGENTINA,Aerospace,0.2174,1,0.2174,21.70%
35,ARGENTINA,Agriculture,0.5263,1,0.5263,52.60%
36,ARGENTINA,Automotive,0.262,1,0.262,26.20%
37,ARGENTINA,Energy,0.3861,1,0.3861,38.60%
38,ARGENTINA,Lumber,0.3205,1,0.3205,32.00%
39,ARGENTINA,Maritime,0.2481,1,0.2481,24.80%
40,ARGENTINA,Metals,0.3206,1,0.3206,32.10%
41,ARGENTINA,Minerals,0.3199,1,0.3199,32.00%
42,ARGENTINA,Pharmaceutical,0.3201,1,0.3201,32.00%
43,ARGENTINA,Semiconductor,0.3201,1,0.3201,32.00%
44,ARGENTINA,Steel & Aluminum,0.3208,1,0.3208,32.10%
45,AUSTRALIA,Aerospace,0.2174,1,0.2174,21.70%
46,AUSTRALIA,Agriculture,0.5263,1,0.5263,52.60%
47,AUSTRALIA,Automotive,0.262,1,0.262,26.20%
48,AUSTRALIA,Energy,0.3861,1,0.3861,38.60%
49,AUSTRALIA,Lumber,0.3205,1,0.3205,32.00%
50,AUSTRALIA,Maritime,0.2481,1,0.2481,24.80%
51,AUSTRALIA,Metals,0.3206,1,0.3206,32.10%
52,AUSTRALIA,Minerals,0.3199,1,0.3199,32.00%
53,AUSTRALIA,Pharmaceutical,0.3201,1,0.3201,32.00%
54,AUSTRALIA,Semiconductor,0.3201,1,0.3201,32.00%
55,AUSTRALIA,Steel & Aluminum,0.3208,1,0.3208,32.10%
56,BANGLADESH,Aerospace,0.2174,1,0.2174,21.70%
57,BANGLADESH,Agriculture,0.5263,1,0.5263,52.60%
58,BANGLADESH,Automotive,0.262,1,0.262,26.20%
59,BANGLADESH,Energy,0.3861,1,0.3861,38.60%
60,BANGLADESH,Lumber,0.3205,1,0.3205,32.00%
61,BANGLADESH,Maritime,0.2481,1,0.2481,24.80%
62,BANGLADESH,Metals,0.3206,1,0.3206,32.10%
63,BANGLADESH,Minerals,0.3199,1,0.3199,32.00%
64,BANGLADESH,Pharmaceutical,0.3201,1,0.3201,32.00%
65,BANGLADESH,Semiconductor,0.3201,1,0.3201,32.00%
66,BANGLADESH,Steel & Aluminum,0.3208,1,0.3208,32.10%
67,BOLIVIA,Aerospace,0.2174,1,0.2174,21.70%
68,BOLIVIA,Agriculture,0.5263,1,0.5263,52.60%
69,BOLIVIA,Automotive,0.262,1,0.262,26.20%
70,BOLIVIA,Energy,0.3861,1,0.3861,38.60%
71,BOLIVIA,Lumber,0.3205,1,0.3205,32.00%
72,BOLIVIA,Maritime,0.2481,1,0.2481,24.80%
73,BOLIVIA,Metals,0.3206,1,0.3206,32.10%
74,BOLIVIA,Minerals,0.3199,1,0.3199,32.00%
75,BOLIVIA,Pharmaceutical,0.3201,1,0.3201,32.00%
76,BOLIVIA,Semiconductor,0.3201,1,0.3201,32.00%
77,BOLIVIA,Steel & Aluminum,0.3208,1,0.3208,32.10%
78,BOSNIA AND HERZEGOVINA,Aerospace,0.2174,1,0.2174,21.70%
79,BOSNIA AND HERZEGOVINA,Agriculture,0.5263,1,0.5263,52.60%
80,BOSNIA AND HERZEGOVINA,Automotive,0.262,1,0.262,26.20%
81,BOSNIA AND HERZEGOVINA,Energy,0.3861,1,0.3861,38.60%
82,BOSNIA AND HERZEGOVINA,Lumber,0.3205,1,0.3205,32.00%
83,BOSNIA AND HERZEGOVINA,Maritime,0.2481,1,0.2481,24.80%
84,BOSNIA AND HERZEGOVINA,Metals,0.3206,1,0.3206,32.10%
85,BOSNIA AND HERZEGOVINA,Minerals,0.3199,1,0.3199,32.00%
86,BOSNIA AND HERZEGOVINA,Pharmaceutical,0.3201,1,0.3201,32.00%
87,BOSNIA AND HERZEGOVINA,Semiconductor,0.3201,1,0.3201,32.00%
88,BOSNIA AND HERZEGOVINA,Steel & Aluminum,0.3208,1,0.3208,32.10%
89,BOTSWANA,Aerospace,0.2174,1,0.2174,21.70%
90,BOTSWANA,Agriculture,0.5263,1,0.5263,52.60%
91,BOTSWANA,Automotive,0.262,1,0.262,26.20%
92,BOTSWANA,Energy,0.3861,1,0.3861,38.60%
93,BOTSWANA,Lumber,0.3205,1,0.3205,32.00%
94,BOTSWANA,Maritime,0.2481,1,0.2481,24.80%
