country_std,month_start,y,sample_weight,tariff_count_country_3m,tariff_count_country_6m,tariff_count_country_12m,months_since_last_tariff_country,authority_count_12m_IEEPA,authority_count_12m_Section_301,authority_count_12m_Section_232,trade_deficit,imports,exports,trade_deficit_3m_mean,trade_deficit_3m_change,gscpi,gscpi_3m_mean,unrate,month_of_year,months_since_start,manufacturing_strength,fx_to_usd,fx_to_usd_3m_mean,fx_to_usd_3m_std,GSCPI,unemployment_rate,unemployment_3m_mean,political_risk_score,tariff_event_count
AFGHANISTAN,2024-11-01,0,1.0,0,0,0,36.0,0,0,0,1.99687,2.526573,0.529703,1.99687,,-0.28,-0.28,4.2,11,0,,,,,,,,,
AFGHANISTAN,2024-12-01,0,1.0,0,0,0,36.0,0,0,0,1.4973910000000001,2.401628,0.904237,1.7471305,,-0.26,-0.27,4.1,12,1,,,,,,,,,
AFGHANISTAN,2025-01-01,0,1.0,0,0,0,36.0,0,0,0,2.415547,3.295203,0.879656,1.969936,,-0.18,-0.24,4.0,1,2,,,,,,,,,
AFGHANISTAN,2025-02-01,0,1.0,0,0,0,36.0,0,0,0,2.357859,2.885865,0.528006,2.090265666666667,0.360989,0.0,-0.14666666666666667,4.2,2,3,,,,,,,,,
AFGHANISTAN,2025-03-01,0,1.0,0,0,0,36.0,0,0,0,4.244624,4.820235,0.575611,3.00601,2.7472329999999996,-0.18,-0.12,4.2,3,4,,,,,,,,,
AFGHANISTAN,2025-04-01,0,1.0,0,0,0,36.0,0,0,0,0.7657240000000001,2.107323,1.341599,2.456069,-1.649823,-0.24,-0.13999999999999999,4.2,4,5,,,,,,,,,
AFGHANISTAN,2025-05-01,0,1.0,0,0,0,36.0,0,0,0,4.169447999999999,6.505806,2.336358,3.059932,1.8115889999999992,0.28,-0.046666666666666655,4.3,5,6,,,,,,,,,
AFGHANISTAN,2025-06-01,1,0.05,0,0,0,36.0,0,0,0,0.730873,1.382145,0.651272,1.8886816666666666,-3.513751,0.09,0.04333333333333334,4.1,6,7,,,,,,,,,
AFGHANISTAN,2025-07-01,1,0.05,0,0,0,36.0,0,0,0,2.234789,3.001208,0.766419,2.37837,1.469065,0.03,0.13333333333333333,4.3,7,8,,,,,,,,,
AFGHANISTAN,2025-08-01,1,0.05,1,1,1,0.0,1,0,0,-0.3038160000000001,1.355491,1.659307,0.8872820000000002,-4.4732639999999995,-0.08,0.013333333333333322,4.3,8,9,,,,,,,,,
AFGHANISTAN,2025-09-01,0,1.0,1,1,1,1.02,1,0,0,0.18031399999999986,1.738897,1.558583,0.7037623333333336,-0.5505590000000001,-0.02,-0.023333333333333345,4.4,9,10,,,,,,,,,
AFGHANISTAN,2025-10-01,0,1.0,1,1,1,2.0,1,0,0,1.430586,1.650847,0.220261,0.43569466666666684,-0.8042030000000002,-0.08,-0.06000000000000002,,10,11,,,,,,,,,
AFGHANISTAN,2025-11-01,0,1.0,0,1,1,3.02,1,0,0,3.5476759999999996,4.249641,0.701965,1.7195253333333334,3.8514919999999995,-0.16,-0.08666666666666667,4.5,11,12,,,,,,,,,
ALGERIA,2024-11-01,0,1.0,0,0,0,36.0,0,0,0,32.008689000000004,119.624089,87.6154,32.008689000000004,,-0.28,-0.28,4.2,11,0,,,,,,,,,
ALGERIA,2024-12-01,0,1.0,0,0,0,36.0,0,0,0,124.388463,303.33958,178.951117,78.198576,,-0.26,-0.27,4.1,12,1,,,,,,,,,
ALGERIA,2025-01-01,0,1.0,0,0,0,36.0,0,0,0,49.445644000000016,158.124308,108.678664,68.61426533333334,,-0.18,-0.24,4.0,1,2,,,,,,,,,
ALGERIA,2025-02-01,1,0.05,0,0,0,36.0,0,0,0,235.77336199999996,297.678977,61.905615,136.535823,203.76467299999996,0.0,-0.14666666666666667,4.2,2,3,,,,,,,,,
ALGERIA,2025-03-01,1,0.05,0,0,0,36.0,0,0,0,82.50024999999998,184.911524,102.411274,122.57308533333332,-41.88821300000002,-0.18,-0.12,4.2,3,4,,,,,,,,,
ALGERIA,2025-04-01,1,0.05,0,0,0,36.0,0,0,0,45.78335899999999,147.806843,102.023484,121.35232366666663,-3.6622850000000255,-0.24,-0.13999999999999999,4.2,4,5,,,,,,,,,
ALGERIA,2025-05-01,0,1.0,1,1,1,0.95,1,0,0,80.695013,163.123929,82.428916,69.65954066666666,-155.07834899999995,0.28,-0.046666666666666655,4.3,5,6,,,,,,,,,
ALGERIA,2025-06-01,0,1.0,1,1,1,1.97,1,0,0,76.44226300000001,171.194365,94.752102,67.64021166666667,-6.057986999999969,0.09,0.04333333333333334,4.1,6,7,,,,,,,,,
ALGERIA,2025-07-01,0,1.0,1,1,1,2.96,1,0,0,132.91314500000001,193.721345,60.8082,96.68347366666667,87.12978600000002,0.03,0.13333333333333333,4.3,7,8,,,,,,,,,
ALGERIA,2025-08-01,0,1.0,0,1,1,3.98,1,0,0,252.963668,330.89535,77.931682,154.10635866666667,172.26865500000002,-0.08,0.013333333333333322,4.3,8,9,,,,,,,,,
ALGERIA,2025-09-01,0,1.0,0,1,1,4.99,1,0,0,165.844073,267.11104,101.266967,183.90696200000002,89.40181,-0.02,-0.023333333333333345,4.4,9,10,,,,,,,,,
ALGERIA,2025-10-01,0,1.0,0,1,1,5.98,1,0,0,-29.13231900000001,105.283057,134.415376,129.89180733333333,-162.04546400000004,-0.08,-0.06000000000000002,,10,11,,,,,,,,,
ALGERIA,2025-11-01,0,1.0,0,0,1,7.0,1,0,0,-37.456810000000004,87.254105,124.710915,33.08498133333333,-290.420478,-0.16,-0.08666666666666667,4.5,11,12,,,,,,,,,
ANGOLA,2024-11-01,0,1.0,0,0,0,36.0,0,0,0,132.117838,203.699304,71.581466,132.117838,,-0.28,-0.28,4.2,11,0,,,,,,,,,
ANGOLA,2024-12-01,0,1.0,0,0,0,36.0,0,0,0,130.814355,170.509356,39.695001,131.4660965,,-0.26,-0.27,4.1,12,1,,,,,,,,,
ANGOLA,2025-01-01,0,1.0,0,0,0,36.0,0,0,0,-213.703716,79.927721,293.631437,16.409492333333343,,-0.18,-0.24,4.0,1,2,,,,,,,,,
ANGOLA,2025-02-01,1,0.05,0,0,0,36.0,0,0,0,4.615915000000001,63.846638,59.230723,-26.09114866666666,-127.501923,0.0,-0.14666666666666667,4.2,2,3,,,,,,,,,
ANGOLA,2025-03-01,1,0.05,0,0,0,36.0,0,0,0,-19.309434,28.08617,47.395604,-76.13241166666667,-150.12378900000002,-0.18,-0.12,4.2,3,4,,,,,,,,,
ANGOLA,2025-04-01,1,0.05,0,0,0,36.0,0,0,0,-56.17703399999999,25.486355,81.663389,-23.62351766666666,157.526682,-0.24,-0.13999999999999999,4.2,4,5,,,,,,,,,
ANGOLA,2025-05-01,0,1.0,1,1,1,0.95,1,0,0,31.610005,68.330411,36.720406,-14.625487666666663,26.99409,0.28,-0.046666666666666655,4.3,5,6,,,,,,,,,
ANGOLA,2025-06-01,0,1.0,1,1,1,1.97,1,0,0,46.66110200000001,97.889688,51.228586,7.364691000000007,65.97053600000001,0.09,0.04333333333333334,4.1,6,7,,,,,,,,,
ANGOLA,2025-07-01,0,1.0,1,1,1,2.96,1,0,0,115.038596,171.4605,56.421904,64.43656766666668,171.21562999999998,0.03,0.13333333333333333,4.3,7,8,,,,,,,,,
ANGOLA,2025-08-01,0,1.0,0,1,1,3.98,1,0,0,67.60642000000001,127.890105,60.283685,76.43537266666668,35.99641500000001,-0.08,0.013333333333333322,4.3,8,9,,,,,,,,,
ANGOLA,2025-09-01,0,1.0,0,1,1,4.99,1,0,0,-99.802679,78.87281,178.675489,27.614112333333342,-146.463781,-0.02,-0.023333333333333345,4.4,9,10,,,,,,,,,
ANGOLA,2025-10-01,0,1.0,0,1,1,5.98,1,0,0,-7.261699999999998,49.912002,57.173702,-13.152652999999994,-122.300296,-0.08,-0.06000000000000002,,10,11,,,,,,,,,
ANGOLA,2025-11-01,0,1.0,0,0,1,7.0,1,0,0,-154.804869,39.830462,194.635331,-87.28974933333332,-222.411289,-0.16,-0.08666666666666667,4.5,11,12,,,,,,,,,
ARGENTINA,2024-11-01,0,1.0,0,0,0,36.0,0,0,0,-99.47084800000005,638.142433,737.613281,-99.47084800000005,,-0.28,-0.28,4.2,11,0,,,,,,,,,
ARGENTINA,2024-12-01,0,1.0,0,0,0,36.0,0,0,0,-188.869279,684.163719,873.032998,-144.17006350000003,,-0.26,-0.27,4.1,12,1,,,,,,,,,
