country_original,country_standardized
Advanced Technology Products,ADVANCED TECHNOLOGY PRODUCTS
Afghanistan,AFGHANISTAN
Africa,AFRICA
Albania,ALBANIA
Algeria,ALGERIA
Andorra,ANDORRA
"Andorra, Principality of",ANDORRA PRINCIPALITY OF
Angola,ANGOLA
Anguilla,ANGUILLA
"Anguilla, United Kingdom-British Overseas Territory",ANGUILLA UNITED KINGDOM BRITISH OVERSEAS TERRITORY
Antigua and Barbuda,ANTIGUA AND BARBUDA
Argentina,ARGENTINA
Armenia,ARMENIA
"Armenia, Republic of",ARMENIA REPUBLIC OF
Aruba,ARUBA
"Aruba, Kingdom of the Netherlands",ARUBA KINGDOM OF THE NETHERLANDS
Asia,ASIA
Australia,AUSTRALIA
Australia and Oceania,AUSTRALIA AND OCEANIA
Austria,AUSTRIA
Automotive,AUTOMOTIVE
Azerbaijan,AZERBAIJAN
"Azerbaijan, Republic of",AZERBAIJAN REPUBLIC OF
Bahamas,BAHAMAS
"Bahamas, The",BAHAMAS THE
Bahrain,BAHRAIN
"Bahrain, Kingdom of",BAHRAIN KINGDOM OF
Bangladesh,BANGLADESH
Barbados,BARBADOS
Belarus,BELARUS
"Belarus, Republic of",BELARUS REPUBLIC OF
Belgium,BELGIUM
Belize,BELIZE
Benin,BENIN
Bermuda,BERMUDA
Bhutan,BHUTAN
Bolivia,BOLIVIA (PLURINATIONAL STATE OF)
Bolivia (Plurinational State of),BOLIVIA PLURINATIONAL STATE OF
Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA
Botswana,BOTSWANA
Brazil,BRAZIL
British Indian Ocean Terr.,BRITISH INDIAN OCEAN TERR
British Virgin Islands,BRITISH VIRGIN ISLANDS
Brunei,BRUNEI DARUSSALAM
Brunei Darussalam,BRUNEI DARUSSALAM
Bulgaria,BULGARIA
Burkina Faso,BURKINA FASO
Burma,BURMA
Burundi,BURUNDI
Côte d'Ivoire,C TE D IVOIRE
Côte d`Ivoire,C TE D IVOIRE
Cabo Verde,CABO VERDE
CAFTA-DR,CAFTA DR
Cambodia,CAMBODIA
Cameroon,CAMEROON
Canada,CANADA
Cayman Islands,CAYMAN ISLANDS
Central African Economic and Monetary Community (CEMAC),CENTRAL AFRICAN ECONOMIC AND MONETARY COMMUNITY CEMAC
Central African Republic,CENTRAL AFRICAN REPUBLIC
Chad,CHAD
Chile,CHILE
China,CHINA
"China, Hong Kong SAR",CHINA HONG KONG SAR
"China, Macao SAR",CHINA MACAO SAR
"China, People's Republic of",CHINA PEOPLE S REPUBLIC OF
"China, Taiwan Province",CHINA TAIWAN PROVINCE
Christmas Island,CHRISTMAS ISLAND
Cocos (Keeling) Islands,COCOS KEELING ISLANDS
Colombia,COLOMBIA
Comoros,COMOROS
"Comoros, Union of the",COMOROS UNION OF THE
Congo,CONGO
"Congo, Democratic Republic of the",CONGO DEMOCRATIC REPUBLIC OF THE
"Congo, Republic of",CONGO REPUBLIC OF
Cook Islands,COOK ISLANDS
Costa Rica,COSTA RICA
Cote d'Ivoire,COTE D IVOIRE
Croatia,CROATIA
Cuba,CUBA
Curaçao and Sint Maarten,CURA AO AND SINT MAARTEN
"Curaçao, Kingdom of the Netherlands",CURA AO KINGDOM OF THE NETHERLANDS
Curacao,CURACAO
Cyprus,CYPRUS
Czech Republic,CZECH REPUBLIC
Czechia,CZECH REPUBLIC
Czechoslovakia,CZECHOSLOVAKIA
Democratic Republic of Congo,DEMOCRATIC REPUBLIC OF CONGO
Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO
Denmark,DENMARK
Djibouti,DJIBOUTI
Dominica,DOMINICA
Dominican Republic,DOMINICAN REPUBLIC
East Timor,EAST TIMOR
Eastern Caribbean Currency Union (ECCU),EASTERN CARIBBEAN CURRENCY UNION ECCU
Ecuador,ECUADOR
Egypt,EGYPT
"Egypt, Arab Republic of",EGYPT ARAB REPUBLIC OF
El Salvador,EL SALVADOR
Equatorial Guinea,EQUATORIAL GUINEA
"Equatorial Guinea, Republic of",EQUATORIAL GUINEA REPUBLIC OF
Eritrea,ERITREA
"Eritrea, The State of",ERITREA THE STATE OF
Estonia,ESTONIA
Eswatini,ESWATINI
"Eswatini, Kingdom of",ESWATINI KINGDOM OF
Ethiopia,ETHIOPIA
"Ethiopia, The Federal Democratic Republic of",ETHIOPIA THE FEDERAL DEMOCRATIC REPUBLIC OF
European Union,EU
Euro Area (EA),EURO AREA EA
Europe,EUROPE
Falkland Islands,FALKLAND ISLANDS
Falkland Islands(Islas Malvin,FALKLAND ISLANDS ISLAS MALVIN
Faroe Islands,FAROE ISLANDS
Fiji,FIJI
"Fiji, Republic of",FIJI REPUBLIC OF
Finland,FINLAND
France,FRANCE
French Guiana,FRENCH GUIANA
French Polynesia,FRENCH POLYNESIA
French Southern and Antarctic,FRENCH SOUTHERN AND ANTARCTIC
Gabon,GABON
Gambia,GAMBIA
"Gambia, The",GAMBIA THE
Gaza Strip admin. by Israel,GAZA STRIP ADMIN BY ISRAEL
Georgia,GEORGIA
Germany,GERMANY
Ghana,GHANA
Gibraltar,GIBRALTAR
Global,GLOBAL
Greece,GREECE
Greenland,GREENLAND
Grenada,GRENADA
Guadeloupe,GUADELOUPE
Guatemala,GUATEMALA
Guernsey,GUERNSEY
Guinea,GUINEA
Guinea-Bissau,GUINEA BISSAU
Guyana,GUYANA
Haiti,HAITI
Heard and McDonald Islands,HEARD AND MCDONALD ISLANDS
Honduras,HONDURAS
Hong Kong,HONG KONG
"Hong Kong Special Administrative Region, People's Republic of China",HONG KONG SPECIAL ADMINISTRATIVE REGION PEOPLE S REPUBLIC OF CHINA
Hungary,HUNGARY
Iceland,ICELAND
India,INDIA
Indonesia,INDONESIA
International Organizations,INTERNATIONAL ORGANIZATIONS
Iran,"IRAN, ISLAMIC REPUBLIC OF"
Iraq,IRAQ
Iraq-Saudi Arabia Neutral Zone,IRAQ SAUDI ARABIA NEUTRAL ZONE
Ireland,IRELAND
Isle of Man,ISLE OF MAN
Israel,ISRAEL
Italy,ITALY
Jamaica,JAMAICA
Japan,JAPAN
Jersey,JERSEY
Jordan,JORDAN
Kazakhstan,KAZAKHSTAN
"Kazakhstan, Republic of",KAZAKHSTAN REPUBLIC OF
Kenya,KENYA
Kiribati,KIRIBATI
"Korea, North",KOREA NORTH
"Korea, Republic of",KOREA REPUBLIC OF
"Korea, South","KOREA, REPUBLIC OF"
South Korea,"KOREA, REPUBLIC OF"
Kosovo,KOSOVO
"Kosovo, Republic of",KOSOVO REPUBLIC OF
Kuwait,KUWAIT
Kyrgyz Republic,KYRGYZ REPUBLIC
Kyrgyzstan,KYRGYZSTAN
Lao People's Democratic Republic,LAO PEOPLE S DEMOCRATIC REPUBLIC
Laos,LAO PEOPLE'S DEMOCRATIC REPUBLIC
Latvia,LATVIA
Lebanon,LEBANON
Lesotho,LESOTHO
"Lesotho, Kingdom of",LESOTHO KINGDOM OF
Liberia,LIBERIA
Libya,LIBYA
Liechtenstein,LIECHTENSTEIN
"Liechtenstein, Principality of",LIECHTENSTEIN PRINCIPALITY OF
Lithuania,LITHUANIA
Luxembourg,LUXEMBOURG
"Macao Special Administrative Region, People's Republic of China",MACAO SPECIAL ADMINISTRATIVE REGION PEOPLE S REPUBLIC OF CHINA
Macau,MACAU
Macedonia,MACEDONIA
Madagascar,MADAGASCAR
"Madagascar, Republic of",MADAGASCAR REPUBLIC OF
Malawi,MALAWI
Malaysia,MALAYSIA
Maldives,MALDIVES
Mali,MALI
Malta,MALTA
Marshall Islands,MARSHALL ISLANDS
Martinique,MARTINIQUE
Mauritania,MAURITANIA
Mauritius,MAURITIUS
Mayotte,MAYOTTE
Mexico,MEXICO
Micronesia,MICRONESIA
"Micronesia, Federated States of",MICRONESIA FEDERATED STATES OF
"Moldova, Republic of",MOLDOVA REPUBLIC OF
Moldova,"MOLDOVA, REPUBLIC OF"
Monaco,MONACO
Mongolia,MONGOLIA
Montenegro,MONTENEGRO
Montserrat,MONTSERRAT
"Montserrat, United Kingdom-British Overseas Territory",MONTSERRAT UNITED KINGDOM BRITISH OVERSEAS TERRITORY
Morocco,MOROCCO
Mozambique,MOZAMBIQUE
"Mozambique, Republic of",MOZAMBIQUE REPUBLIC OF
Myanmar (Burma),MYANMAR BURMA
NAFTA with Canada (Consump),NAFTA WITH CANADA CONSUMP
NAFTA with Mexico (Consump),NAFTA WITH MEXICO CONSUMP
Namibia,NAMIBIA
Nauru,NAURU
"Nauru, Republic of",NAURU REPUBLIC OF
Nepal,NEPAL
Netherlands,NETHERLANDS
Netherlands Antilles,NETHERLANDS ANTILLES
Netherlands (Kingdom of the),NETHERLANDS KINGDOM OF THE
New Caledonia,NEW CALEDONIA
New Zealand,NEW ZEALAND
Nicaragua,NICARAGUA
Niger,NIGER
Nigeria,NIGERIA
Niue,NIUE
Norfolk Island,NORFOLK ISLAND
North America,NORTH AMERICA
North Macedonia,NORTH MACEDONIA
"North Macedonia, Republic of",NORTH MACEDONIA REPUBLIC OF
Norway,NORWAY
Oman,OMAN
Pacific Rim,PACIFIC RIM
Pakistan,PAKISTAN
Palau,PALAU
"Palau, Republic of",PALAU REPUBLIC OF
Panama,PANAMA
Papa New Guinea,PAPA NEW GUINEA
Papua New Guinea,PAPUA NEW GUINEA
Paraguay,PARAGUAY
Peru,PERU
Philippines,PHILIPPINES
Pitcairn Islands,PITCAIRN ISLANDS
Poland,POLAND
"Poland, Republic of",POLAND REPUBLIC OF
Portugal,PORTUGAL
Qatar,QATAR
Republic of Korea,REPUBLIC OF KOREA
Republic of Yemen,REPUBLIC OF YEMEN
Reunion,REUNION
Romania,ROMANIA
Russia,RUSSIAN FEDERATION
Russian Federation,RUSSIAN FEDERATION
Rwanda,RWANDA
"São Tomé and Príncipe, Democratic Republic of",S O TOM AND PR NCIPE DEMOCRATIC REPUBLIC OF
Samoa,SAMOA
San Marino,SAN MARINO
"San Marino, Republic of",SAN MARINO REPUBLIC OF
Sao Tome and Principe,SAO TOME AND PRINCIPE
Saudi Arabia,SAUDI ARABIA
Senegal,SENEGAL
Serbia,SERBIA
Serbia and Montenegro,SERBIA AND MONTENEGRO
"Serbia, Republic of",SERBIA REPUBLIC OF
Seychelles,SEYCHELLES
Sierra Leone,SIERRA LEONE
Singapore,SINGAPORE
Sint Maarten,SINT MAARTEN
