date,SP500,DOW,NASDAQ
2026-02-23,5107.1273,42118.2776,18559.5648
2026-02-24,5114.262,42236.7774,18619.2594
2026-02-25,5121.4041,42355.4992,18679.084
2026-02-26,5128.5535,42474.4432,18739.0384
2026-02-27,5135.7104,42593.6094,18799.1229
2026-02-28,5142.8747,42712.9978,18859.3373
2026-03-01,5150.0463,42832.6085,18919.6818
2026-03-02,5157.2254,42952.4413,18980.1563
2026-03-03,5164.4119,43072.4964,19040.7609
2026-03-04,5171.6058,43192.7738,19101.4956
2026-03-05,5178.8071,43313.2735,19162.3605
2026-03-06,5186.0159,43433.9954,19223.3555
2026-03-07,5185.7406,43412.4715,19213.6514
2026-03-08,5185.5478,43392.5196,19204.7278
2026-03-09,5185.4334,43374.0624,19196.5462
2026-03-10,5185.3937,43357.0262,19189.0702
2026-03-11,5185.425,43341.3413,19182.2652
2026-03-12,5185.5239,43326.9412,19176.0981
2026-03-13,5185.687,43313.7629,19170.5378
2026-03-14,5185.9114,43301.7465,19165.5544
2026-03-15,5186.194,43290.835,19161.1198
2026-03-16,5186.5319,43280.9742,19157.2071
2026-03-17,5186.9226,43272.1128,19153.7909
2026-03-18,5187.3634,43264.2019,19150.8468
2026-03-19,5187.852,43257.1949,19148.3518
2026-03-20,5188.386,43251.0478,19146.2841
2026-03-21,5188.9632,43245.7186,19144.6228
2026-03-22,5189.5816,43241.1672,19143.3482
2026-03-23,5190.2392,43237.3559,19142.4414
2026-03-24,5190.934,43234.2485,19141.8846
2026-03-25,5191.6643,43231.8108,19141.6607
2026-03-26,5192.4284,43230.0101,19141.7536
2026-03-27,5193.2247,43228.8154,19142.148
2026-03-28,5194.0515,43228.1973,19142.8291
2026-03-29,5194.9075,43228.1277,19143.7832
2026-03-30,5195.7912,43228.58,19144.997
2026-03-31,5196.7014,43229.5289,19146.458
2026-04-01,5197.6366,43230.9502,19148.1541
2026-04-02,5198.5959,43232.821,19150.0741
2026-04-03,5199.5779,43235.1196,19152.2072
2026-04-04,5200.5816,43237.8251,19154.543
2026-04-05,5201.606,43240.918,19157.0718
2026-04-06,5202.65,43244.3794,19159.7843
2026-04-07,5203.7129,43248.1916,19162.6717
2026-04-08,5204.7935,43252.3375,19165.7255
2026-04-09,5205.8912,43256.801,19168.9377
2026-04-10,5207.0051,43261.5668,19172.3009
2026-04-11,5208.1344,43266.6204,19175.8076
2026-04-12,5209.2784,43271.9477,19179.451
2026-04-13,5210.4364,43277.5357,19183.2247
2026-04-14,5211.6078,43283.3718,19187.1223
2026-04-15,5212.7919,43289.4439,19191.1379
2026-04-16,5213.9881,43295.7409,19195.266
2026-04-17,5215.1958,43302.2518,19199.501
2026-04-18,5216.4146,43308.9663,19203.838
2026-04-19,5217.6438,43315.8748,19208.2721
2026-04-20,5218.8831,43322.9678,19212.7987
2026-04-21,5220.1318,43330.2367,19217.4134
2026-04-22,5221.3897,43337.6728,19222.112
2026-04-23,5222.6562,43345.2683,19226.8905
2026-04-24,5223.931,43353.0154,19231.7451
2026-04-25,5225.2137,43360.907,19236.6724
2026-04-26,5226.5039,43368.9362,19241.6687
2026-04-27,5227.8013,43377.0964,19246.731
2026-04-28,5229.1055,43385.3814,19251.856
2026-04-29,5230.4163,43393.7852,19257.0409
2026-04-30,5231.7333,43402.3022,19262.2829
2026-05-01,5233.0562,43410.927,19267.5792
2026-05-02,5234.3849,43419.6545,19272.9273
2026-05-03,5235.7189,43428.4798,19278.3249
2026-05-04,5237.0582,43437.3984,19283.7696
2026-05-05,5238.4023,43446.4058,19289.2592
2026-05-06,5239.7512,43455.4978,19294.7917
2026-05-07,5241.1047,43464.6705,19300.3651
2026-05-08,5242.4624,43473.92,19305.9775
2026-05-09,5243.8243,43483.2428,19311.6271
2026-05-10,5245.1901,43492.6354,19317.3122
2026-05-11,5246.5597,43502.0946,19323.0312
2026-05-12,5247.9329,43511.6172,19328.7826
2026-05-13,5249.3095,43521.2003,19334.5649
2026-05-14,5250.6895,43530.8412,19340.3766
2026-05-15,5252.0726,43540.537,19346.2165
2026-05-16,5253.4587,43550.2853,19352.0833
2026-05-17,5254.8478,43560.0837,19357.9758
2026-05-18,5256.2396,43569.9299,19363.8928
2026-05-19,5257.6341,43579.8216,19369.8333
2026-05-20,5259.0312,43589.7568,19375.7962
2026-05-21,5260.4307,43599.7335,19381.7806
2026-05-22,5261.8325,43609.7499,19387.7855
2026-05-23,5263.2366,43619.804,19393.8099
