date,SP500,DOW,NASDAQ
2026-02-23,5105.7218,42042.0216,18510.2664
2026-02-24,5111.4493,42084.0804,18520.5383
2026-02-25,5117.1824,42126.1762,18530.8157
2026-02-26,5122.9212,42168.3092,18541.0986
2026-02-27,5128.6657,42210.4795,18551.3871
2026-02-28,5134.4159,42252.6869,18561.681
2026-03-01,5140.1717,42294.9316,18571.9805
2026-03-02,5145.9332,42337.2135,18582.2854
2026-03-03,5151.7005,42379.5328,18592.5959
2026-03-04,5157.4734,42421.8894,18602.912
2026-03-05,5163.252,42464.2833,18613.2335
2026-03-06,5169.0363,42506.7147,18623.5606
2026-03-07,5169.1722,42507.8314,18628.4475
2026-03-08,5169.3703,42509.4042,18633.3959
2026-03-09,5169.6278,42511.4109,18638.4028
2026-03-10,5169.9417,42513.8303,18643.4654
2026-03-11,5170.3094,42516.6426,18648.5812
2026-03-12,5170.7281,42519.8285,18653.7477
2026-03-13,5171.1954,42523.3701,18658.9625
2026-03-14,5171.709,42527.2501,18664.2234
2026-03-15,5172.2667,42531.4521,18669.5282
2026-03-16,5172.8662,42535.9605,18674.8749
2026-03-17,5173.5056,42540.7605,18680.2616
2026-03-18,5174.183,42545.8382,18685.6864
2026-03-19,5174.8965,42551.1799,18691.1476
2026-03-20,5175.6444,42556.773,18696.6435
2026-03-21,5176.425,42562.6055,18702.1725
2026-03-22,5177.2368,42568.6657,18707.7331
2026-03-23,5178.0782,42574.9426,18713.324
2026-03-24,5178.9478,42581.426,18718.9436
2026-03-25,5179.8444,42588.1057,18724.5907
2026-03-26,5180.7665,42594.9725,18730.2642
2026-03-27,5181.713,42602.0173,18735.9627
2026-03-28,5182.6826,42609.2317,18741.6852
2026-03-29,5183.6744,42616.6073,18747.4306
2026-03-30,5184.6872,42624.1367,18753.198
2026-03-31,5185.72,42631.8123,18758.9863
2026-04-01,5186.7718,42639.6273,18764.7946
2026-04-02,5187.8419,42647.5749,18770.6221
2026-04-03,5188.9292,42655.6489,18776.4679
2026-04-04,5190.033,42663.8432,18782.3312
2026-04-05,5191.1526,42672.1521,18788.2113
2026-04-06,5192.287,42680.5701,18794.1075
2026-04-07,5193.4357,42689.0922,18800.0191
2026-04-08,5194.598,42697.7132,18805.9454
2026-04-09,5195.7732,42706.4287,18811.8858
2026-04-10,5196.9608,42715.234,18817.8398
2026-04-11,5198.16,42724.125,18823.8068
2026-04-12,5199.3705,42733.0976,18829.7862
2026-04-13,5200.5916,42742.148,18835.7776
2026-04-14,5201.8229,42751.2726,18841.7804
2026-04-15,5203.0639,42760.4678,18847.7943
2026-04-16,5204.3142,42769.7303,18853.8187
2026-04-17,5205.5732,42779.0571,18859.8533
2026-04-18,5206.8406,42788.445,18865.8977
2026-04-19,5208.1161,42797.8914,18871.9515
2026-04-20,5209.3992,42807.3933,18878.0143
2026-04-21,5210.6896,42816.9484,18884.0858
2026-04-22,5211.9869,42826.5541,18890.1657
2026-04-23,5213.2909,42836.2081,18896.2536
2026-04-24,5214.6012,42845.9082,18902.3494
2026-04-25,5215.9176,42855.6522,18908.4526
2026-04-26,5217.2398,42865.4382,18914.5631
2026-04-27,5218.5674,42875.2642,18920.6806
2026-04-28,5219.9003,42885.1285,18926.8048
2026-04-29,5221.2382,42895.0293,18932.9355
2026-04-30,5222.581,42904.9649,18939.0726
2026-05-01,5223.9283,42914.9338,18945.2157
2026-05-02,5225.28,42924.9345,18951.3648
2026-05-03,5226.6359,42934.9656,18957.5195
2026-05-04,5227.9958,42945.0258,18963.6798
2026-05-05,5229.3595,42955.1137,18969.8455
2026-05-06,5230.7269,42965.2281,18976.0164
2026-05-07,5232.0978,42975.3679,18982.1923
2026-05-08,5233.4721,42985.532,18988.3732
2026-05-09,5234.8496,42995.7192,18994.5588
2026-05-10,5236.2301,43005.9287,19000.7491
2026-05-11,5237.6136,43016.1595,19006.9439
2026-05-12,5238.9999,43026.4106,19013.1431
2026-05-13,5240.3889,43036.6812,19019.3466
2026-05-14,5241.7805,43046.9705,19025.5542
2026-05-15,5243.1746,43057.2777,19031.7659
2026-05-16,5244.571,43067.6021,19037.9817
2026-05-17,5245.9698,43077.9429,19044.2013
2026-05-18,5247.3707,43088.2995,19050.4247
2026-05-19,5248.7738,43098.6712,19056.6518
2026-05-20,5250.1788,43109.0575,19062.8825
2026-05-21,5251.5859,43119.4577,19069.1168
2026-05-22,5252.9948,43129.8714,19075.3546
2026-05-23,5254.4054,43140.2979,19081.5958
