date,SP500,DOW,NASDAQ
2026-02-23,5116.5065,42032.4588,18615.7114
2026-02-24,5133.0251,42064.9319,18731.5436
2026-02-25,5149.5556,42097.4194,18847.4901
2026-02-26,5166.0978,42129.9213,18963.5444
2026-02-27,5182.6514,42162.4376,19079.7
2026-02-28,5199.2163,42194.9682,19195.9501
2026-03-01,5215.7922,42227.5132,19312.2883
2026-03-02,5232.3788,42260.0726,19428.7077
2026-03-03,5248.976,42292.6462,19545.2016
2026-03-04,5265.5836,42325.2343,19661.7633
2026-03-05,5282.2013,42357.8366,19778.3858
2026-03-06,5298.8288,42390.4533,19895.0624
2026-03-07,5295.8361,42394.4084,19869.3513
2026-03-08,5293.0582,42398.6795,19845.1924
2026-03-09,5290.4846,42403.2516,19822.5109
2026-03-10,5288.1057,42408.11,19801.2357
2026-03-11,5285.9118,42413.2411,19781.2989
2026-03-12,5283.894,42418.6317,19762.6359
2026-03-13,5282.0439,42424.2693,19745.1854
2026-03-14,5280.3532,42430.1421,19728.8888
2026-03-15,5278.8143,42436.2388,19713.6903
2026-03-16,5277.4198,42442.5486,19699.5371
2026-03-17,5276.1628,42449.0613,19686.3786
2026-03-18,5275.0366,42455.7672,19674.1668
2026-03-19,5274.0348,42462.6571,19662.856
2026-03-20,5273.1514,42469.7221,19652.4026
2026-03-21,5272.3807,42476.9538,19642.7654
2026-03-22,5271.7173,42484.3443,19633.9047
2026-03-23,5271.1559,42491.886,19625.7832
2026-03-24,5270.6917,42499.5717,19618.3652
2026-03-25,5270.3199,42507.3945,19611.6167
2026-03-26,5270.0361,42515.348,19605.5053
2026-03-27,5269.836,42523.4257,19600.0003
2026-03-28,5269.7156,42531.622,19595.0725
2026-03-29,5269.671,42539.9311,19590.6939
2026-03-30,5269.6986,42548.3477,19586.838
2026-03-31,5269.7948,42556.8667,19583.4798
2026-04-01,5269.9564,42565.4832,19580.595
2026-04-02,5270.1803,42574.1927,19578.1609
2026-04-03,5270.4633,42582.9907,19576.1558
2026-04-04,5270.8027,42591.8731,19574.559
2026-04-05,5271.1958,42600.836,19573.3507
2026-04-06,5271.6399,42609.8754,19572.5123
2026-04-07,5272.1327,42618.9879,19572.0259
2026-04-08,5272.6717,42628.1701,19571.8747
2026-04-09,5273.2547,42637.4186,19572.0423
2026-04-10,5273.8796,42646.7304,19572.5136
2026-04-11,5274.5445,42656.1025,19573.2738
2026-04-12,5275.2473,42665.5321,19574.3092
2026-04-13,5275.9864,42675.0166,19575.6064
2026-04-14,5276.7598,42684.5534,19577.1528
2026-04-15,5277.566,42694.1402,19578.9365
2026-04-16,5278.4034,42703.7745,19580.9462
2026-04-17,5279.2706,42713.4543,19583.1709
2026-04-18,5280.166,42723.1774,19585.6003
2026-04-19,5281.0884,42732.9419,19588.2246
2026-04-20,5282.0364,42742.7459,19591.0345
2026-04-21,5283.0088,42752.5876,19594.021
2026-04-22,5284.0045,42762.4653,19597.1758
2026-04-23,5285.0223,42772.3774,19600.4908
2026-04-24,5286.0613,42782.3223,19603.9582
2026-04-25,5287.1203,42792.2986,19607.5709
2026-04-26,5288.1984,42802.3048,19611.3219
2026-04-27,5289.2948,42812.3397,19615.2045
2026-04-28,5290.4085,42822.402,19619.2126
2026-04-29,5291.5388,42832.4905,19623.3401
2026-04-30,5292.6849,42842.6039,19627.5813
2026-05-01,5293.8459,42852.7414,19631.9309
2026-05-02,5295.0212,42862.9017,19636.3837
2026-05-03,5296.2102,42873.084,19640.9347
2026-05-04,5297.4121,42883.2873,19645.5794
2026-05-05,5298.6265,42893.5106,19650.3133
2026-05-06,5299.8526,42903.7532,19655.1322
2026-05-07,5301.0899,42914.0143,19660.0321
2026-05-08,5302.338,42924.293,19665.0091
2026-05-09,5303.5963,42934.5887,19670.0596
2026-05-10,5304.8643,42944.9006,19675.1802
2026-05-11,5306.1416,42955.2281,19680.3675
2026-05-12,5307.4278,42965.5705,19685.6184
2026-05-13,5308.7224,42975.9273,19690.93
2026-05-14,5310.025,42986.2979,19696.2995
2026-05-15,5311.3354,42996.6818,19701.724
2026-05-16,5312.653,43007.0784,19707.2011
2026-05-17,5313.9777,43017.4872,19712.7282
2026-05-18,5315.309,43027.9078,19718.3032
2026-05-19,5316.6467,43038.3397,19723.9237
2026-05-20,5317.9905,43048.7825,19729.5877
2026-05-21,5319.34,43059.2358,19735.2932
2026-05-22,5320.6952,43069.6993,19741.0382
2026-05-23,5322.0556,43080.1725,19746.821
