date,SP500,DOW,NASDAQ
2026-02-23,5106.9001,42061.3344,18509.8265
2026-02-24,5113.8039,42122.6985,18519.6575
2026-02-25,5120.7112,42184.092,18529.493
2026-02-26,5127.6221,42245.5148,18539.333
2026-02-27,5134.5365,42306.9669,18549.1775
2026-02-28,5141.4544,42368.4481,18559.0265
2026-03-01,5148.3759,42429.9583,18568.8799
2026-03-02,5155.301,42491.4973,18578.7379
2026-03-03,5162.2295,42553.065,18588.6004
2026-03-04,5169.1615,42614.6613,18598.4673
2026-03-05,5176.0971,42676.2861,18608.3388
2026-03-06,5183.0361,42737.9392,18618.2148
2026-03-07,5182.8391,42733.5041,18623.2316
2026-03-08,5182.7204,42729.7943,18628.3035
2026-03-09,5182.6764,42726.7749,18633.4278
2026-03-10,5182.7033,42724.4124,18638.602
2026-03-11,5182.7977,42722.6751,18643.824
2026-03-12,5182.9565,42721.5327,18649.0914
2026-03-13,5183.1764,42720.9566,18654.4022
2026-03-14,5183.4546,42720.9193,18659.7543
2026-03-15,5183.7882,42721.3948,18665.1458
2026-03-16,5184.1746,42722.3583,18670.575
2026-03-17,5184.6112,42723.7864,18676.0401
2026-03-18,5185.0956,42725.6565,18681.5394
2026-03-19,5185.6255,42727.9473,18687.0715
2026-03-20,5186.1987,42730.6386,18692.6348
2026-03-21,5186.8132,42733.7111,18698.2278
2026-03-22,5187.4669,42737.1463,18703.8493
2026-03-23,5188.158,42740.9267,18709.498
2026-03-24,5188.8846,42745.0358,18715.1727
2026-03-25,5189.6452,42749.4577,18720.8721
2026-03-26,5190.4379,42754.1774,18726.5953
2026-03-27,5191.2614,42759.1805,18732.3411
2026-03-28,5192.114,42764.4534,18738.1085
2026-03-29,5192.9945,42769.9831,18743.8966
2026-03-30,5193.9016,42775.7573,18749.7045
2026-03-31,5194.8338,42781.7643,18755.5314
2026-04-01,5195.79,42787.9928,18761.3763
2026-04-02,5196.7692,42794.4323,18767.2386
2026-04-03,5197.7701,42801.0726,18773.1175
2026-04-04,5198.7918,42807.9042,18779.0122
2026-04-05,5199.8332,42814.9178,18784.9222
2026-04-06,5200.8935,42822.1047,18790.8468
2026-04-07,5201.9716,42829.4568,18796.7853
2026-04-08,5203.0669,42836.9659,18802.7372
2026-04-09,5204.1784,42844.6248,18808.702
2026-04-10,5205.3055,42852.4262,18814.679
2026-04-11,5206.4473,42860.3634,18820.6679
2026-04-12,5207.6031,42868.4298,18826.6682
2026-04-13,5208.7724,42876.6193,18832.6793
2026-04-14,5209.9544,42884.9262,18838.7009
2026-04-15,5211.1486,42893.3448,18844.7326
2026-04-16,5212.3544,42901.8697,18850.7739
2026-04-17,5213.5713,42910.4961,18856.8245
2026-04-18,5214.7987,42919.2191,18862.8841
2026-04-19,5216.0361,42928.0341,18868.9523
2026-04-20,5217.2832,42936.9367,18875.0288
2026-04-21,5218.5393,42945.923,18881.1133
2026-04-22,5219.8042,42954.9888,18887.2055
2026-04-23,5221.0774,42964.1306,18893.3051
2026-04-24,5222.3585,42973.3447,18899.4119
2026-04-25,5223.6472,42982.6278,18905.5256
2026-04-26,5224.943,42991.9765,18911.6461
2026-04-27,5226.2458,43001.388,18917.7729
2026-04-28,5227.5551,43010.8592,18923.9061
2026-04-29,5228.8707,43020.3874,18930.0452
2026-04-30,5230.1922,43029.9699,18936.1902
2026-05-01,5231.5195,43039.6043,18942.3409
2026-05-02,5232.8522,43049.2881,18948.4971
2026-05-03,5234.1901,43059.0191,18954.6586
2026-05-04,5235.533,43068.7951,18960.8253
2026-05-05,5236.8807,43078.6141,18966.997
2026-05-06,5238.2328,43088.474,18973.1736
2026-05-07,5239.5894,43098.3731,18979.3549
2026-05-08,5240.95,43108.3096,18985.5408
2026-05-09,5242.3147,43118.2817,18991.7312
2026-05-10,5243.6831,43128.2879,18997.926
2026-05-11,5245.0551,43138.3266,19004.125
2026-05-12,5246.4307,43148.3964,19010.3282
2026-05-13,5247.8095,43158.496,19016.5355
2026-05-14,5249.1915,43168.6239,19022.7466
2026-05-15,5250.5766,43178.779,19028.9617
2026-05-16,5251.9646,43188.9601,19035.1805
2026-05-17,5253.3554,43199.1659,19041.403
2026-05-18,5254.7488,43209.3956,19047.6292
2026-05-19,5256.1448,43219.6479,19053.8588
2026-05-20,5257.5433,43229.922,19060.092
2026-05-21,5258.9441,43240.2169,19066.3285
2026-05-22,5260.3472,43250.5318,19072.5684
2026-05-23,5261.7525,43260.8657,19078.8115
