date,SP500,DOW,NASDAQ
2026-02-23,5100.5025,42010.3504,18505.1136
2026-02-24,5101.0049,42020.7033,18510.2286
2026-02-25,5101.5071,42031.0587,18515.345
2026-02-26,5102.0093,42041.4167,18520.4627
2026-02-27,5102.5114,42051.7773,18525.5818
2026-02-28,5103.0134,42062.1404,18530.7022
2026-03-01,5103.5152,42072.506,18535.8241
2026-03-02,5104.017,42082.8743,18540.9472
2026-03-03,5104.5187,42093.245,18546.0718
2026-03-04,5105.0202,42103.6184,18551.1977
2026-03-05,5105.5217,42113.9943,18556.325
2026-03-06,5106.0231,42124.3727,18561.4536
2026-03-07,5107.6837,42134.7537,18567.8365
2026-03-08,5109.332,42145.1373,18574.2077
2026-03-09,5110.9686,42155.5234,18580.5679
2026-03-10,5112.5942,42165.9121,18586.9177
2026-03-11,5114.2093,42176.3033,18593.2578
2026-03-12,5115.8143,42186.6971,18599.5887
2026-03-13,5117.4099,42197.0935,18605.911
2026-03-14,5118.9965,42207.4924,18612.2251
2026-03-15,5120.5745,42217.8939,18618.5316
2026-03-16,5122.1444,42228.2979,18624.831
2026-03-17,5123.7065,42238.7045,18631.1236
2026-03-18,5125.2614,42249.1137,18637.41
2026-03-19,5126.8093,42259.5254,18643.6904
2026-03-20,5128.3507,42269.9397,18649.9653
2026-03-21,5129.8858,42280.3566,18656.2351
2026-03-22,5131.4149,42290.7761,18662.5001
2026-03-23,5132.9385,42301.1981,18668.7607
2026-03-24,5134.4567,42311.6226,18675.017
2026-03-25,5135.9699,42322.0498,18681.2696
2026-03-26,5137.4782,42332.4795,18687.5185
2026-03-27,5138.9821,42342.9118,18693.7642
2026-03-28,5140.4816,42353.3467,18700.0068
2026-03-29,5141.9771,42363.7841,18706.2467
2026-03-30,5143.4687,42374.2241,18712.484
2026-03-31,5144.9567,42384.6667,18718.7189
2026-04-01,5146.4412,42395.1118,18724.9517
2026-04-02,5147.9224,42405.5595,18731.1826
2026-04-03,5149.4006,42416.0098,18737.4118
2026-04-04,5150.8758,42426.4627,18743.6394
2026-04-05,5152.3483,42436.9181,18749.8657
2026-04-06,5153.8182,42447.3762,18756.0907
2026-04-07,5155.2856,42457.8368,18762.3147
2026-04-08,5156.7507,42468.2999,18768.5378
2026-04-09,5158.2136,42478.7657,18774.7601
2026-04-10,5159.6744,42489.234,18780.9818
2026-04-11,5161.1333,42499.705,18787.203
2026-04-12,5162.5904,42510.1785,18793.4239
2026-04-13,5164.0457,42520.6545,18799.6445
2026-04-14,5165.4994,42531.1332,18805.8649
2026-04-15,5166.9516,42541.6144,18812.0853
2026-04-16,5168.4023,42552.0983,18818.3058
2026-04-17,5169.8517,42562.5847,18824.5264
2026-04-18,5171.2998,42573.0737,18830.7473
2026-04-19,5172.7468,42583.5652,18836.9685
2026-04-20,5174.1926,42594.0594,18843.1901
2026-04-21,5175.6374,42604.5561,18849.4123
2026-04-22,5177.0813,42615.0555,18855.635
2026-04-23,5178.5243,42625.5574,18861.8583
2026-04-24,5179.9664,42636.0619,18868.0824
2026-04-25,5181.4077,42646.569,18874.3073
2026-04-26,5182.8483,42657.0787,18880.533
2026-04-27,5184.2883,42667.591,18886.7595
2026-04-28,5185.7277,42678.1059,18892.9871
2026-04-29,5187.1664,42688.6233,18899.2156
2026-04-30,5188.6047,42699.1434,18905.4452
2026-05-01,5190.0425,42709.666,18911.676
2026-05-02,5191.4799,42720.1913,18917.9078
2026-05-03,5192.9168,42730.7191,18924.1409
2026-05-04,5194.3534,42741.2495,18930.3752
2026-05-05,5195.7897,42751.7825,18936.6108
2026-05-06,5197.2257,42762.3182,18942.8477
2026-05-07,5198.6615,42772.8564,18949.0859
2026-05-08,5200.097,42783.3972,18955.3256
2026-05-09,5201.5324,42793.9406,18961.5666
2026-05-10,5202.9676,42804.4866,18967.8091
2026-05-11,5204.4026,42815.0352,18974.0531
2026-05-12,5205.8375,42825.5864,18980.2986
2026-05-13,5207.2724,42836.1402,18986.5456
2026-05-14,5208.7072,42846.6966,18992.7942
2026-05-15,5210.1419,42857.2556,18999.0444
2026-05-16,5211.5767,42867.8172,19005.2961
2026-05-17,5213.0114,42878.3815,19011.5495
2026-05-18,5214.4462,42888.9483,19017.8046
2026-05-19,5215.881,42899.5177,19024.0613
2026-05-20,5217.3158,42910.0897,19030.3197
2026-05-21,5218.7507,42920.6644,19036.5799
2026-05-22,5220.1857,42931.2416,19042.8417
2026-05-23,5221.6208,42941.8214,19049.1053
