date,SP500,DOW,NASDAQ
2026-02-23,5099.5543,42010.3504,18504.0789
2026-02-24,5099.1084,42020.7033,18508.1586
2026-02-25,5098.6623,42031.0587,18512.2392
2026-02-26,5098.216,42041.4167,18516.3206
2026-02-27,5097.7696,42051.7773,18520.4028
2026-02-28,5097.323,42062.1404,18524.4858
2026-03-01,5096.8762,42072.506,18528.5697
2026-03-02,5096.4292,42082.8743,18532.6544
2026-03-03,5095.9821,42093.245,18536.74
2026-03-04,5095.5347,42103.6184,18540.8263
2026-03-05,5095.0872,42113.9943,18544.9135
2026-03-06,5094.6396,42124.3727,18549.0016
2026-03-07,5096.574,42134.7537,18555.6838
2026-03-08,5098.4827,42145.1373,18562.3398
2026-03-09,5100.3672,42155.5234,18568.9709
2026-03-10,5102.2285,42165.9121,18575.5785
2026-03-11,5104.0678,42176.3033,18582.1637
2026-03-12,5105.8861,42186.6971,18588.7277
2026-03-13,5107.6846,42197.0935,18595.2718
2026-03-14,5109.4642,42207.4924,18601.7968
2026-03-15,5111.2258,42217.8939,18608.304
2026-03-16,5112.9703,42228.2979,18614.7941
2026-03-17,5114.6985,42238.7045,18621.2682
2026-03-18,5116.4114,42249.1137,18627.7271
2026-03-19,5118.1095,42259.5254,18634.1716
2026-03-20,5119.7937,42269.9397,18640.6026
2026-03-21,5121.4647,42280.3566,18647.0208
2026-03-22,5123.1231,42290.7761,18653.4269
2026-03-23,5124.7695,42301.1981,18659.8216
2026-03-24,5126.4046,42311.6226,18666.2056
2026-03-25,5128.0289,42322.0498,18672.5794
2026-03-26,5129.6429,42332.4795,18678.9436
2026-03-27,5131.2472,42342.9118,18685.2989
2026-03-28,5132.8423,42353.3467,18691.6458
2026-03-29,5134.4285,42363.7841,18697.9847
2026-03-30,5136.0065,42374.2241,18704.3161
2026-03-31,5137.5765,42384.6667,18710.6406
2026-04-01,5139.1391,42395.1118,18716.9585
2026-04-02,5140.6945,42405.5595,18723.2702
2026-04-03,5142.2431,42416.0098,18729.5762
2026-04-04,5143.7853,42426.4627,18735.8769
2026-04-05,5145.3215,42436.9181,18742.1725
2026-04-06,5146.8519,42447.3762,18748.4634
2026-04-07,5148.3768,42457.8368,18754.75
2026-04-08,5149.8965,42468.2999,18761.0326
2026-04-09,5151.4113,42478.7657,18767.3114
2026-04-10,5152.9214,42489.234,18773.5868
2026-04-11,5154.4272,42499.705,18779.859
2026-04-12,5155.9287,42510.1785,18786.1282
2026-04-13,5157.4263,42520.6545,18792.3947
2026-04-14,5158.9201,42531.1332,18798.6588
2026-04-15,5160.4104,42541.6144,18804.9206
2026-04-16,5161.8973,42552.0983,18811.1803
2026-04-17,5163.3811,42562.5847,18817.4382
2026-04-18,5164.8618,42573.0737,18823.6945
2026-04-19,5166.3397,42583.5652,18829.9493
2026-04-20,5167.815,42594.0594,18836.2028
2026-04-21,5169.2877,42604.5561,18842.4551
2026-04-22,5170.758,42615.0555,18848.7064
2026-04-23,5172.226,42625.5574,18854.9569
2026-04-24,5173.6919,42636.0619,18861.2067
2026-04-25,5175.1558,42646.569,18867.4559
2026-04-26,5176.6178,42657.0787,18873.7047
2026-04-27,5178.0781,42667.591,18879.9532
2026-04-28,5179.5366,42678.1059,18886.2014
2026-04-29,5180.9936,42688.6233,18892.4496
2026-04-30,5182.4491,42699.1434,18898.6978
2026-05-01,5183.9032,42709.666,18904.946
2026-05-02,5185.3561,42720.1913,18911.1945
2026-05-03,5186.8077,42730.7191,18917.4433
2026-05-04,5188.2581,42741.2495,18923.6924
2026-05-05,5189.7075,42751.7825,18929.942
2026-05-06,5191.1559,42762.3182,18936.1921
2026-05-07,5192.6034,42772.8564,18942.4429
2026-05-08,5194.05,42783.3972,18948.6943
2026-05-09,5195.4958,42793.9406,18954.9464
2026-05-10,5196.9408,42804.4866,18961.1994
2026-05-11,5198.3852,42815.0352,18967.4532
2026-05-12,5199.8289,42825.5864,18973.708
2026-05-13,5201.272,42836.1402,18979.9638
2026-05-14,5202.7146,42846.6966,18986.2206
2026-05-15,5204.1567,42857.2556,18992.4784
2026-05-16,5205.5983,42867.8172,18998.7374
2026-05-17,5207.0396,42878.3815,19004.9976
2026-05-18,5208.4804,42888.9483,19011.259
2026-05-19,5209.921,42899.5177,19017.5217
2026-05-20,5211.3612,42910.0897,19023.7856
2026-05-21,5212.8011,42920.6644,19030.0509
2026-05-22,5214.2408,42931.2416,19036.3176
2026-05-23,5215.6804,42941.8214,19042.5857
