date,SP500,DOW,NASDAQ
2026-02-23,5100.119,41998.8559,18504.5629
2026-02-24,5100.2367,41997.6995,18509.1264
2026-02-25,5100.3532,41996.5308,18513.6906
2026-02-26,5100.4684,41995.3497,18518.2554
2026-02-27,5100.5823,41994.1564,18522.8208
2026-02-28,5100.695,41992.9507,18527.3869
2026-03-01,5100.8064,41991.7327,18531.9536
2026-03-02,5100.9166,41990.5024,18536.5209
2026-03-03,5101.0255,41989.2597,18541.0889
2026-03-04,5101.1331,41988.0048,18545.6575
2026-03-05,5101.2395,41986.7375,18550.2267
2026-03-06,5101.3447,41985.4579,18554.7966
2026-03-07,5103.1197,41999.2087,18561.3402
2026-03-08,5104.8768,42012.797,18567.8644
2026-03-09,5106.6169,42026.2307,18574.3701
2026-03-10,5108.3408,42039.5177,18580.8582
2026-03-11,5110.0493,42052.6652,18587.3299
2026-03-12,5111.7432,42065.6801,18593.7859
2026-03-13,5113.4232,42078.5691,18600.2272
2026-03-14,5115.0901,42091.3385,18606.6544
2026-03-15,5116.7444,42103.9942,18613.0686
2026-03-16,5118.3868,42116.5418,18619.4702
2026-03-17,5120.018,42128.9869,18625.8601
2026-03-18,5121.6384,42141.3345,18632.239
2026-03-19,5123.2487,42153.5895,18638.6074
2026-03-20,5124.8493,42165.7565,18644.966
2026-03-21,5126.4407,42177.84,18651.3153
2026-03-22,5128.0234,42189.8442,18657.6559
2026-03-23,5129.5979,42201.773,18663.9883
2026-03-24,5131.1645,42213.6302,18670.313
2026-03-25,5132.7236,42225.4195,18676.6305
2026-03-26,5134.2757,42237.1444,18682.9413
2026-03-27,5135.8211,42248.808,18689.2456
2026-03-28,5137.3601,42260.4134,18695.5441
2026-03-29,5138.8932,42271.9637,18701.837
2026-03-30,5140.4205,42283.4616,18708.1247
2026-03-31,5141.9423,42294.9099,18714.4075
2026-04-01,5143.4591,42306.311,18720.6859
2026-04-02,5144.971,42317.6673,18726.9601
2026-04-03,5146.4782,42328.9813,18733.2304
2026-04-04,5147.9811,42340.255,18739.4971
2026-04-05,5149.4799,42351.4906,18745.7605
2026-04-06,5150.9747,42362.69,18752.0208
2026-04-07,5152.4659,42373.8551,18758.2783
2026-04-08,5153.9535,42384.9877,18764.5332
2026-04-09,5155.4378,42396.0896,18770.7858
2026-04-10,5156.919,42407.1623,18777.0362
2026-04-11,5158.3972,42418.2074,18783.2847
2026-04-12,5159.8726,42429.2263,18789.5314
2026-04-13,5161.3453,42440.2205,18795.7766
2026-04-14,5162.8155,42451.1912,18802.0204
2026-04-15,5164.2834,42462.1398,18808.2629
2026-04-16,5165.7491,42473.0674,18814.5044
2026-04-17,5167.2126,42483.9752,18820.745
2026-04-18,5168.6742,42494.8643,18826.9848
2026-04-19,5170.1339,42505.7358,18833.224
2026-04-20,5171.5919,42516.5905,18839.4626
2026-04-21,5173.0482,42527.4294,18845.7009
2026-04-22,5174.5029,42538.2535,18851.9389
2026-04-23,5175.9562,42549.0635,18858.1768
2026-04-24,5177.4081,42559.8604,18864.4146
2026-04-25,5178.8588,42570.6447,18870.6525
2026-04-26,5180.3082,42581.4174,18876.8906
2026-04-27,5181.7565,42592.179,18883.1289
2026-04-28,5183.2038,42602.9303,18889.3675
2026-04-29,5184.65,42613.6719,18895.6065
2026-04-30,5186.0954,42624.4043,18901.8461
2026-05-01,5187.5399,42635.1282,18908.0862
2026-05-02,5188.9837,42645.844,18914.3269
2026-05-03,5190.4266,42656.5523,18920.5684
2026-05-04,5191.869,42667.2536,18926.8106
2026-05-05,5193.3106,42677.9484,18933.0537
2026-05-06,5194.7518,42688.6371,18939.2977
2026-05-07,5196.1923,42699.3201,18945.5426
2026-05-08,5197.6324,42709.9978,18951.7885
2026-05-09,5199.0721,42720.6706,18958.0355
2026-05-10,5200.5113,42731.3389,18964.2836
2026-05-11,5201.9502,42742.003,18970.5329
2026-05-12,5203.3888,42752.6633,18976.7834
2026-05-13,5204.827,42763.32,18983.035
2026-05-14,5206.265,42773.9734,18989.288
2026-05-15,5207.7028,42784.6239,18995.5423
2026-05-16,5209.1404,42795.2718,19001.798
2026-05-17,5210.5778,42805.9172,19008.055
2026-05-18,5212.0151,42816.5604,19014.3134
2026-05-19,5213.4522,42827.2016,19020.5733
2026-05-20,5214.8893,42837.8412,19026.8347
2026-05-21,5216.3263,42848.4792,19033.0976
2026-05-22,5217.7632,42859.1159,19039.362
2026-05-23,5219.2002,42869.7514,19045.628
