date,SP500,DOW,NASDAQ
2026-02-23,5099.7272,42010.3504,18505.0412
2026-02-24,5099.454,42020.7033,18510.0836
2026-02-25,5099.1804,42031.0587,18515.1275
2026-02-26,5098.9066,42041.4167,18520.1726
2026-02-27,5098.6323,42051.7773,18525.2191
2026-02-28,5098.3578,42062.1404,18530.267
2026-03-01,5098.0828,42072.506,18535.3161
2026-03-02,5097.8076,42082.8743,18540.3666
2026-03-03,5097.532,42093.245,18545.4185
2026-03-04,5097.256,42103.6184,18550.4717
2026-03-05,5096.9797,42113.9943,18555.5262
2026-03-06,5096.7031,42124.3727,18560.5821
2026-03-07,5098.5882,42134.7537,18566.9858
2026-03-08,5100.45,42145.1373,18573.3769
2026-03-09,5102.2898,42155.5234,18579.7561
2026-03-10,5104.1086,42165.9121,18586.124
2026-03-11,5105.9074,42176.3033,18592.4812
2026-03-12,5107.6873,42186.6971,18598.8284
2026-03-13,5109.4492,42197.0935,18605.1662
2026-03-14,5111.1939,42207.4924,18611.4951
2026-03-15,5112.9224,42217.8939,18617.8157
2026-03-16,5114.6354,42228.2979,18624.1284
2026-03-17,5116.3336,42238.7045,18630.4337
2026-03-18,5118.0179,42249.1137,18636.7321
2026-03-19,5119.689,42259.5254,18643.024
2026-03-20,5121.3474,42269.9397,18649.3099
2026-03-21,5122.9938,42280.3566,18655.5901
2026-03-22,5124.6288,42290.7761,18661.8649
2026-03-23,5126.253,42301.1981,18668.1348
2026-03-24,5127.867,42311.6226,18674.4002
2026-03-25,5129.4712,42322.0498,18680.6612
2026-03-26,5131.0661,42332.4795,18686.9182
2026-03-27,5132.6522,42342.9118,18693.1715
2026-03-28,5134.23,42353.3467,18699.4215
2026-03-29,5135.7999,42363.7841,18705.6682
2026-03-30,5137.3622,42374.2241,18711.9121
2026-03-31,5138.9174,42384.6667,18718.1533
2026-04-01,5140.4658,42395.1118,18724.3921
2026-04-02,5142.0078,42405.5595,18730.6287
2026-04-03,5143.5437,42416.0098,18736.8632
2026-04-04,5145.0738,42426.4627,18743.0959
2026-04-05,5146.5984,42436.9181,18749.327
2026-04-06,5148.1179,42447.3762,18755.5567
2026-04-07,5149.6324,42457.8368,18761.7851
2026-04-08,5151.1422,42468.2999,18768.0123
2026-04-09,5152.6476,42478.7657,18774.2386
2026-04-10,5154.1488,42489.234,18780.4641
2026-04-11,5155.646,42499.705,18786.6888
2026-04-12,5157.1395,42510.1785,18792.9131
2026-04-13,5158.6295,42520.6545,18799.1369
2026-04-14,5160.116,42531.1332,18805.3604
2026-04-15,5161.5994,42541.6144,18811.5837
2026-04-16,5163.0798,42552.0983,18817.8069
2026-04-17,5164.5573,42562.5847,18824.0301
2026-04-18,5166.0322,42573.0737,18830.2535
2026-04-19,5167.5045,42583.5652,18836.477
2026-04-20,5168.9744,42594.0594,18842.7009
2026-04-21,5170.442,42604.5561,18848.9252
2026-04-22,5171.9075,42615.0555,18855.1499
2026-04-23,5173.371,42625.5574,18861.3751
2026-04-24,5174.8326,42636.0619,18867.601
2026-04-25,5176.2924,42646.569,18873.8275
2026-04-26,5177.7506,42657.0787,18880.0549
2026-04-27,5179.2071,42667.591,18886.283
2026-04-28,5180.6622,42678.1059,18892.512
2026-04-29,5182.1159,42688.6233,18898.7419
2026-04-30,5183.5683,42699.1434,18904.9728
2026-05-01,5185.0195,42709.666,18911.2047
2026-05-02,5186.4695,42720.1913,18917.4378
2026-05-03,5187.9184,42730.7191,18923.6719
2026-05-04,5189.3664,42741.2495,18929.9073
2026-05-05,5190.8134,42751.7825,18936.1438
2026-05-06,5192.2595,42762.3182,18942.3817
2026-05-07,5193.7049,42772.8564,18948.6208
2026-05-08,5195.1495,42783.3972,18954.8612
2026-05-09,5196.5934,42793.9406,18961.1031
2026-05-10,5198.0366,42804.4866,18967.3463
2026-05-11,5199.4793,42815.0352,18973.591
2026-05-12,5200.9214,42825.5864,18979.8371
2026-05-13,5202.3631,42836.1402,18986.0848
2026-05-14,5203.8043,42846.6966,18992.3339
2026-05-15,5205.245,42857.2556,18998.5846
2026-05-16,5206.6854,42867.8172,19004.8369
2026-05-17,5208.1255,42878.3815,19011.0908
2026-05-18,5209.5652,42888.9483,19017.3463
2026-05-19,5211.0047,42899.5177,19023.6034
2026-05-20,5212.4439,42910.0897,19029.8622
2026-05-21,5213.883,42920.6644,19036.1227
2026-05-22,5215.3219,42931.2416,19042.3849
2026-05-23,5216.7606,42941.8214,19048.6488
