date,SP500,DOW,NASDAQ
2026-02-23,5112.7323,42096.8411,18537.2469
2026-02-24,5125.4686,42193.7098,18574.5111
2026-02-25,5138.209,42290.6052,18611.7925
2026-02-26,5150.9531,42387.5266,18649.0907
2026-02-27,5163.701,42484.4731,18686.4057
2026-02-28,5176.4524,42581.444,18723.7373
2026-03-01,5189.2073,42678.4385,18761.0852
2026-03-02,5201.9655,42775.4557,18798.4493
2026-03-03,5214.727,42872.4948,18835.8294
2026-03-04,5227.4916,42969.555,18873.2253
2026-03-05,5240.2591,43066.6355,18910.6367
2026-03-06,5253.0295,43163.7355,18948.0636
2026-03-07,5251.1503,43149.0611,18945.154
2026-03-08,5249.4313,43135.6094,18942.6855
2026-03-09,5247.8647,43123.3216,18940.637
2026-03-10,5246.4431,43112.1414,18938.9883
2026-03-11,5245.1596,43102.0154,18937.7201
2026-03-12,5244.0075,43092.8927,18936.8141
2026-03-13,5242.9804,43084.7248,18936.2529
2026-03-14,5242.0724,43077.4657,18936.0199
2026-03-15,5241.2777,43071.0715,18936.0995
2026-03-16,5240.5908,43065.5005,18936.4764
2026-03-17,5240.0066,43060.7128,18937.1365
2026-03-18,5239.52,43056.6707,18938.0662
2026-03-19,5239.1265,43053.3383,18939.2525
2026-03-20,5238.8214,43050.6811,18940.6831
2026-03-21,5238.6006,43048.6668,18942.3462
2026-03-22,5238.4599,43047.2641,18944.2308
2026-03-23,5238.3955,43046.4437,18946.3262
2026-03-24,5238.4038,43046.1774,18948.6222
2026-03-25,5238.4812,43046.4385,18951.1094
2026-03-26,5238.6244,43047.2016,18953.7785
2026-03-27,5238.8303,43048.4424,18956.6207
2026-03-28,5239.0957,43050.1379,18959.628
2026-03-29,5239.4179,43052.2663,18962.7922
2026-03-30,5239.7942,43054.8066,18966.1061
2026-03-31,5240.2218,43057.7389,18969.5623
2026-04-01,5240.6984,43061.0445,18973.1541
2026-04-02,5241.2216,43064.7054,18976.8751
2026-04-03,5241.7892,43068.7043,18980.719
2026-04-04,5242.399,43073.0252,18984.6801
2026-04-05,5243.0489,43077.6524,18988.7527
2026-04-06,5243.7372,43082.5713,18992.9316
2026-04-07,5244.4619,43087.7678,18997.2117
2026-04-08,5245.2212,43093.2286,19001.5882
2026-04-09,5246.0136,43098.941,19006.0566
2026-04-10,5246.8374,43104.893,19010.6124
2026-04-11,5247.6912,43111.0729,19015.2516
2026-04-12,5248.5735,43117.47,19019.9701
2026-04-13,5249.4829,43124.0738,19024.7644
2026-04-14,5250.4181,43130.8743,19029.6307
2026-04-15,5251.378,43137.8623,19034.5658
2026-04-16,5252.3613,43145.0286,19039.5663
2026-04-17,5253.3669,43152.3648,19044.6293
2026-04-18,5254.3938,43159.8628,19049.7517
2026-04-19,5255.4409,43167.5149,19054.9308
2026-04-20,5256.5073,43175.3136,19060.164
2026-04-21,5257.5921,43183.2521,19065.4487
2026-04-22,5258.6944,43191.3236,19070.7826
2026-04-23,5259.8133,43199.5218,19076.1633
2026-04-24,5260.9481,43207.8408,19081.5888
2026-04-25,5262.0981,43216.2747,19087.0568
2026-04-26,5263.2624,43224.8181,19092.5655
2026-04-27,5264.4405,43233.4659,19098.113
2026-04-28,5265.6316,43242.2132,19103.6975
2026-04-29,5266.8353,43251.0551,19109.3173
2026-04-30,5268.0508,43259.9872,19114.9709
2026-05-01,5269.2776,43269.0054,19120.6566
2026-05-02,5270.5153,43278.1055,19126.373
2026-05-03,5271.7632,43287.2837,19132.1188
2026-05-04,5273.021,43296.5363,19137.8925
2026-05-05,5274.2881,43305.8599,19143.693
2026-05-06,5275.5641,43315.2511,19149.5191
2026-05-07,5276.8486,43324.7068,19155.3696
2026-05-08,5278.1413,43334.2239,19161.2435
2026-05-09,5279.4416,43343.7997,19167.1396
2026-05-10,5280.7494,43353.4315,19173.0571
2026-05-11,5282.0642,43363.1165,19178.9949
2026-05-12,5283.3858,43372.8524,19184.9523
2026-05-13,5284.7137,43382.6368,19190.9284
2026-05-14,5286.0478,43392.4675,19196.9223
2026-05-15,5287.3877,43402.3424,19202.9332
2026-05-16,5288.7332,43412.2595,19208.9606
2026-05-17,5290.0841,43422.2168,19215.0037
2026-05-18,5291.44,43432.2126,19221.0617
2026-05-19,5292.8008,43442.245,19227.1342
2026-05-20,5294.1662,43452.3124,19233.2204
2026-05-21,5295.5361,43462.4133,19239.3199
2026-05-22,5296.9102,43472.5462,19245.432
2026-05-23,5298.2884,43482.7096,19251.5564
