id,date,X_baseline,X_impacted,NUE_baseline,NUE_impacted,STLD_baseline,STLD_impacted,CLF_baseline,CLF_impacted,AA_baseline,AA_impacted,ATI_baseline,ATI_impacted,RS_baseline,RS_impacted,CMC_baseline,CMC_impacted,KALU_baseline,KALU_impacted,CENX_baseline,CENX_impacted,IIIN_baseline,IIIN_impacted,GBX_baseline,GBX_impacted,TRN_baseline,TRN_impacted,HAYN_baseline,HAYN_impacted,ZEUS_baseline,ZEUS_impacted,MDU_baseline,MDU_impacted,MLM_baseline,MLM_impacted,VMC_baseline,VMC_impacted,ASTE_baseline,ASTE_impacted,CSTM_baseline,CSTM_impacted
1,2026-02-22,100.0219,99.0573,180.1933,178.4555,193.6138,191.7465,10.6511,10.5484,60.5668,59.9827,159.2812,157.745,319.134,316.0561,76.8891,76.1476,129.2207,127.9745,52.7679,52.259,38.1234,37.7557,58.8379,58.2704,34.9686,34.6313,100.0219,99.0573,47.9075,47.4455,20.2371,20.0419,686.4326,679.8124,305.418,302.4724,58.8089,58.2418,25.4983,25.2524
2,2026-02-23,100.0438,98.1141,180.3768,176.8976,193.8379,190.099,10.6522,10.4467,60.6437,59.4739,159.6934,156.6131,319.258,313.0999,76.9783,75.4935,129.4218,126.9254,52.8961,51.8758,38.1669,37.4307,58.8258,57.6911,34.9672,34.2927,100.0438,98.1141,47.9551,47.0301,20.2442,19.8537,686.9256,673.6756,305.5461,299.6525,58.898,57.7619,25.5568,25.0638
3,2026-02-24,100.0657,97.1705,180.5605,175.3364,194.0622,188.4474,10.6533,10.3451,60.7207,58.9638,160.1067,155.4743,319.3821,310.1413,77.0676,74.8378,129.6232,125.8727,53.0246,51.4904,38.2104,37.1049,58.8137,57.112,34.9658,33.9541,100.0657,97.1705,48.0027,46.6138,20.2513,19.6654,687.4189,667.5297,305.6742,296.8301,58.9872,57.2805,25.6153,24.8742
4,2026-02-25,100.0876,96.2265,180.7444,173.7718,194.2868,186.7917,10.6544,10.2434,60.7978,58.4523,160.5211,154.3286,319.5062,307.1804,77.1571,74.1805,129.8248,124.8165,53.1534,51.1029,38.254,36.7782,58.8016,56.5332,34.9644,33.6155,100.0876,96.2265,48.0503,46.1966,20.2584,19.4769,687.9126,661.3746,305.8024,294.0053,59.0766,56.7975,25.6741,24.6836
5,2026-02-26,100.1096,95.2821,180.9285,172.2038,194.5117,185.1319,10.6555,10.1417,60.8749,57.9394,160.9366,153.1759,319.6303,304.2171,77.2466,73.5216,130.0268,123.7567,53.2826,50.7132,38.2976,36.4508,58.7895,55.9546,34.963,33.277,100.1096,95.2821,48.098,45.7786,20.2655,19.2883,688.4067,655.2103,305.9306,291.178,59.166,56.3129,25.7329,24.492
6,2026-02-27,100.1315,94.3373,181.1128,170.6324,194.7368,183.4681,10.6566,10.0399,60.9522,57.4251,161.3531,152.0162,319.7545,301.2515,77.3362,72.861,130.2291,122.6932,53.412,50.3213,38.3413,36.1226,58.7774,55.3762,34.9616,32.9385,100.1315,94.3373,48.1457,45.3597,20.2726,19.0995,688.9011,649.0368,306.0589,288.3484,59.2556,55.8267,25.7919,24.2994
7,2026-02-28,100.1534,93.392,181.2972,169.0577,194.9621,181.8001,10.6577,9.9382,61.0296,56.9094,161.7707,150.8494,319.8788,298.2835,77.4259,72.1989,130.4317,121.6262,53.5418,49.9272,38.385,35.7936,58.7653,54.798,34.9602,32.6,100.1534,93.392,48.1935,44.94,20.2797,18.9106,689.3958,642.8542,306.1872,285.5163,59.3454,55.3389,25.851,24.1058
8,2026-03-01,100.1754,92.4463,181.4819,167.4796,195.1878,180.128,10.6588,9.8364,61.1071,56.3923,162.1894,149.6757,320.0031,295.3132,77.5158,71.535,130.6347,120.5555,53.6719,49.5308,38.4287,35.4638,58.7533,54.2201,34.9588,32.2615,100.1754,92.4463,48.2414,44.5193,20.2868,18.7216,689.8909,636.6623,306.3156,282.6818,59.4353,54.8495,25.9103,23.9111
9,2026-03-02,100.1973,91.5002,181.6667,165.8981,195.4137,178.4518,10.6599,9.7346,61.1846,55.8738,162.6092,148.4948,320.1274,292.3405,77.6057,70.8696,130.8379,119.4812,53.8023,49.1323,38.4725,35.1331,58.7412,53.6425,34.9574,31.9231,100.1973,91.5002,48.2893,44.0978,20.294,18.5325,690.3864,630.4611,306.444,279.8448,59.5253,54.3585,25.9697,23.7155
10,2026-03-03,100.2193,90.5537,181.8517,164.3132,195.6398,176.7715,10.661,9.6328,61.2623,55.3539,163.03,147.3068,320.2518,289.3655,77.6958,70.2025,131.0415,118.4033,53.933,48.7315,38.5164,34.8017,58.7291,53.065,34.956,31.5847,100.2193,90.5537,48.3372,43.6754,20.3011,18.3432,690.8822,624.2508,306.5725,277.0055,59.6155,53.8659,26.0292,23.5188
