date,SP500,DOW,NASDAQ
2026-02-23,5100.7295,42006.703,18505.6008
2026-02-24,5101.4574,42013.4007,18511.2031
2026-02-25,5102.1837,42020.0931,18516.8068
2026-02-26,5102.9083,42026.7803,18522.412
2026-02-27,5103.6314,42033.4623,18528.0186
2026-02-28,5104.3528,42040.1389,18533.6267
2026-03-01,5105.0725,42046.8104,18539.2362
2026-03-02,5105.7907,42053.4765,18544.8472
2026-03-03,5106.5072,42060.1374,18550.4596
2026-03-04,5107.2221,42066.793,18556.0734
2026-03-05,5107.9354,42073.4434,18561.6887
2026-03-06,5108.647,42080.0884,18567.3055
2026-03-07,5110.2472,42091.5489,18573.5479
2026-03-08,5111.8378,42102.9589,18579.7855
2026-03-09,5113.4195,42114.3209,18586.0186
2026-03-10,5114.9927,42125.6374,18592.2476
2026-03-11,5116.5579,42136.9109,18598.4727
2026-03-12,5118.1154,42148.1435,18604.6942
2026-03-13,5119.6657,42159.3374,18610.9124
2026-03-14,5121.2091,42170.4946,18617.1276
2026-03-15,5122.7459,42181.6171,18623.34
2026-03-16,5124.2767,42192.7066,18629.5498
2026-03-17,5125.8015,42203.765,18635.7572
2026-03-18,5127.3209,42214.7939,18641.9626
2026-03-19,5128.835,42225.7949,18648.166
2026-03-20,5130.3441,42236.7694,18654.3677
2026-03-21,5131.8485,42247.7189,18660.5678
2026-03-22,5133.3485,42258.6447,18666.7666
2026-03-23,5134.8443,42269.5481,18672.9641
2026-03-24,5136.3361,42280.4304,18679.1606
2026-03-25,5137.8241,42291.2927,18685.3562
2026-03-26,5139.3085,42302.1361,18691.551
2026-03-27,5140.7895,42312.9616,18697.7452
2026-03-28,5142.2674,42323.7703,18703.9389
2026-03-29,5143.7422,42334.5631,18710.1322
2026-03-30,5145.2142,42345.3409,18716.3252
2026-03-31,5146.6835,42356.1045,18722.5181
2026-04-01,5148.1503,42366.8549,18728.711
2026-04-02,5149.6146,42377.5927,18734.9039
2026-04-03,5151.0767,42388.3187,18741.097
2026-04-04,5152.5367,42399.0335,18747.2904
2026-04-05,5153.9947,42409.738,18753.484
2026-04-06,5155.4507,42420.4326,18759.6781
2026-04-07,5156.905,42431.1181,18765.8727
2026-04-08,5158.3576,42441.7949,18772.0679
2026-04-09,5159.8087,42452.4637,18778.2636
2026-04-10,5161.2582,42463.1248,18784.4601
2026-04-11,5162.7064,42473.779,18790.6574
2026-04-12,5164.1533,42484.4265,18796.8555
2026-04-13,5165.5989,42495.0679,18803.0545
2026-04-14,5167.0435,42505.7035,18809.2545
2026-04-15,5168.4869,42516.3339,18815.4554
2026-04-16,5169.9294,42526.9593,18821.6575
2026-04-17,5171.3709,42537.5802,18827.8606
2026-04-18,5172.8116,42548.1968,18834.0648
2026-04-19,5174.2514,42558.8095,18840.2703
2026-04-20,5175.6905,42569.4187,18846.4769
2026-04-21,5177.129,42580.0246,18852.6849
2026-04-22,5178.5668,42590.6276,18858.8942
2026-04-23,5180.004,42601.2278,18865.1048
2026-04-24,5181.4406,42611.8255,18871.3167
2026-04-25,5182.8768,42622.4211,18877.5301
2026-04-26,5184.3125,42633.0146,18883.745
2026-04-27,5185.7478,42643.6065,18889.9613
2026-04-28,5187.1828,42654.1967,18896.1791
2026-04-29,5188.6174,42664.7857,18902.3984
2026-04-30,5190.0517,42675.3735,18908.6193
2026-05-01,5191.4857,42685.9603,18914.8418
2026-05-02,5192.9196,42696.5463,18921.0659
2026-05-03,5194.3532,42707.1317,18927.2916
2026-05-04,5195.7866,42717.7167,18933.5189
2026-05-05,5197.2199,42728.3013,18939.7479
2026-05-06,5198.6531,42738.8857,18945.9786
2026-05-07,5200.0861,42749.4701,18952.211
2026-05-08,5201.5191,42760.0546,18958.4451
2026-05-09,5202.9521,42770.6393,18964.6809
2026-05-10,5204.385,42781.2243,18970.9185
2026-05-11,5205.8179,42791.8097,18977.1578
2026-05-12,5207.2508,42802.3957,18983.399
2026-05-13,5208.6838,42812.9824,18989.6419
2026-05-14,5210.1168,42823.5697,18995.8866
2026-05-15,5211.5499,42834.1579,19002.1332
2026-05-16,5212.983,42844.747,19008.3815
2026-05-17,5214.4163,42855.3371,19014.6318
2026-05-18,5215.8496,42865.9283,19020.8838
2026-05-19,5217.2831,42876.5207,19027.1378
2026-05-20,5218.7167,42887.1142,19033.3936
2026-05-21,5220.1505,42897.7091,19039.6513
2026-05-22,5221.5844,42908.3053,19045.9109
2026-05-23,5223.0185,42918.9029,19052.1724
