id,date,BA_baseline,BA_impacted,RTX_baseline,RTX_impacted,LMT_baseline,LMT_impacted,NOC_baseline,NOC_impacted,GD_baseline,GD_impacted,HEI_baseline,HEI_impacted,TDG_baseline,TDG_impacted,SPR_baseline,SPR_impacted,KTOS_baseline,KTOS_impacted,LDOS_baseline,LDOS_impacted,SAIC_baseline,SAIC_impacted,BAH_baseline,BAH_impacted,CACI_baseline,CACI_impacted,DRS_baseline,DRS_impacted,MRCY_baseline,MRCY_impacted,AVAV_baseline,AVAV_impacted,JOBY_baseline,JOBY_impacted,ACHR_baseline,ACHR_impacted,ERJ_baseline,ERJ_impacted,AIR_baseline,AIR_impacted
1,2026-02-22,232.2208,240.9139,205.206,212.8879,658.8125,683.4751,724.3509,751.4669,351.6891,364.8545,352.0361,365.2145,1339.2996,1389.4361,100.0219,103.7662,96.3388,99.9452,173.5596,180.0568,89.8545,93.2182,77.1062,79.9927,586.446,608.3995,40.0459,41.545,87.786,91.0723,264.944,274.8622,100.0219,103.7662,6.927,7.1864,100.0219,103.7662,117.1224,121.5069
2,2026-02-23,232.4117,249.8123,205.4925,220.8777,659.3655,708.732,725.1427,779.4339,351.9584,378.3094,352.4126,378.7977,1339.6193,1439.9163,100.0438,107.5341,96.5982,103.8305,173.6193,186.6181,89.7991,96.5223,77.0026,82.7678,586.8622,630.8004,40.0618,43.0612,87.9424,94.5266,265.2585,285.1183,100.0438,107.5341,6.9241,7.4425,100.0438,107.5341,117.2751,126.0554
3,2026-02-24,232.6028,258.7251,205.7793,228.8893,659.9189,734.0308,725.9353,807.4612,352.2279,391.7847,352.7895,392.4094,1339.9391,1490.4204,100.0657,111.3036,96.8584,107.7361,173.6789,193.1839,89.7437,99.8223,76.8992,85.5353,587.2787,653.2328,40.0776,44.5785,88.0989,97.9929,265.5733,295.3983,100.0657,111.3036,6.9211,7.6984,100.0657,111.3036,117.4279,130.6156
4,2026-02-25,232.794,267.6524,206.0666,236.9229,660.4728,759.3716,726.7288,835.5488,352.4976,405.2805,353.1669,406.0499,1340.259,1540.9486,100.0876,115.0747,97.1193,111.6619,173.7386,199.7542,89.6884,103.1182,76.7958,88.2952,587.6956,675.6968,40.0935,46.0971,88.2558,101.4712,265.8884,305.7024,100.0876,115.0747,6.9182,7.9541,100.0876,115.0747,117.581,135.1875
5,2026-02-26,232.9854,276.5943,206.3543,244.9785,661.0271,784.7544,727.5232,863.6969,352.7676,418.7966,353.5446,419.7191,1340.5789,1591.5009,100.1096,118.8475,97.3809,115.6081,173.7983,206.3289,89.633,106.41,76.6926,91.0475,588.1127,698.1923,40.1094,47.6169,88.413,104.9616,266.2039,316.0305,100.1096,118.8475,6.9152,8.2096,100.1096,118.8475,117.7342,139.771
6,2026-02-27,233.1769,285.5506,206.6423,253.0561,661.5819,810.1793,728.3184,891.9055,353.0377,432.3332,353.9227,433.417,1340.8989,1642.0772,100.1315,122.622,97.6431,119.5747,173.8581,212.9082,89.5777,109.6977,76.5896,93.7923,588.5301,720.7194,40.1253,49.1378,88.5704,108.4641,266.5199,326.3827,100.1315,122.622,6.9123,8.4648,100.1315,122.622,117.8877,144.3663
7,2026-02-28,233.3686,294.5215,206.9308,261.1557,662.1372,835.6463,729.1145,920.1747,353.308,445.8903,354.3013,447.1438,1341.219,1692.6775,100.1534,126.3981,97.9061,123.5618,173.9178,219.492,89.5225,112.9813,76.4867,96.5295,588.9478,743.2781,40.1412,50.66,88.7281,111.9788,266.8361,336.759,100.1534,126.3981,6.9093,8.7199,100.1534,126.3981,118.0413,148.9733
8,2026-03-01,233.5605,303.5069,207.2196,269.2775,662.6929,861.1555,729.9115,948.5047,353.5786,459.4679,354.6802,460.8994,1341.5392,1743.3019,100.1754,130.1758,98.1698,127.5696,173.9776,226.0802,89.4672,116.2608,76.3839,99.2593,589.3658,765.8685,40.1572,52.1834,88.8861,115.5056,267.1528,347.1594,100.1754,130.1758,6.9064,8.9747,100.1754,130.1758,118.1951,153.5921
9,2026-03-02,233.7525,312.507,207.5089,277.4215,663.2491,886.7069,730.7094,976.8955,353.8493,473.0661,355.0595,474.684,1341.8594,1793.9504,100.1973,133.9552,98.4342,131.5981,174.0374,232.673,89.4121,119.5362,76.2812,101.9815,589.7841,788.4905,40.1731,53.7079,89.0444,119.0447,267.4698,357.5841,100.1973,133.9552,6.9034,9.2293,100.1973,133.9552,118.3492,158.2227
10,2026-03-03,233.9447,321.5216,207.7985,285.5877,663.8058,912.3006,731.5081,1005.3472,354.1203,486.6847,355.4393,488.4975,1342.1797,1844.6229,100.2193,137.7362,98.6993,135.6473,174.0972,239.2702,89.3569,122.8075,76.1787,104.6962,590.2027,811.1443,40.189,55.2337,89.2029,122.5959,267.7873,368.0331,100.2193,137.7362,6.9005,9.4837,100.2193,137.7362,118.5034,162.865
