date,GM_baseline,GM_impacted,F_baseline,F_impacted,TSLA_baseline,TSLA_impacted,RIVN_baseline,RIVN_impacted,LCID_baseline,LCID_impacted,APTV_baseline,APTV_impacted,LEA_baseline,LEA_impacted,BWA_baseline,BWA_impacted,ALV_baseline,ALV_impacted,MGA_baseline,MGA_impacted,GNTX_baseline,GNTX_impacted,VC_baseline,VC_impacted,ADNT_baseline,ADNT_impacted,LKQ_baseline,LKQ_impacted,HOG_baseline,HOG_impacted,THRM_baseline,THRM_impacted,DORM_baseline,DORM_impacted,MPAA_baseline,MPAA_impacted,STLA_baseline,STLA_impacted,MODV_baseline,MODV_impacted
2026-02-22,81.6079,85.6721,14.0255,14.724,411.8594,432.3706,15.2752,16.0359,9.523,9.9973,79.6214,83.5866,134.8837,141.6011,59.0128,61.9518,123.1479,129.2808,65.003,68.2403,23.9638,25.1572,92.9343,97.5626,24.882,26.1212,34.0953,35.7933,20.0932,21.0939,34.0982,35.7963,129.6994,136.1586,10.6541,11.1847,7.7224,8.107,100.0219,105.0031
2026-02-23,81.706,89.8441,14.041,15.4395,411.8988,452.9251,15.2803,16.8023,9.4961,10.442,79.6727,87.6084,135.0175,148.4656,59.1058,64.9929,123.2258,135.4994,65.0862,71.5689,23.9575,26.3438,92.9587,102.2176,24.9041,27.3846,34.0905,37.4861,20.0765,22.0762,34.0864,37.4815,129.7088,142.6282,10.6682,11.7307,7.7149,8.4833,100.0438,110.0085
2026-02-24,81.8042,94.0261,14.0565,16.1566,411.9382,473.4835,15.2855,17.5692,9.4693,10.8841,79.7242,91.6353,135.1514,155.3436,59.1989,68.0435,123.3037,141.7258,65.1694,74.906,23.9513,27.5297,92.983,106.8751,24.9262,28.6503,34.0858,39.1784,20.0598,23.0568,34.0746,39.1655,129.7182,149.0987,10.6823,12.2783,7.7073,8.8588,100.0657,115.016
2026-02-25,81.9025,98.2179,14.072,16.8752,411.9776,494.0458,15.2906,18.3366,9.4426,11.3236,79.7756,95.6674,135.2854,162.2351,59.2922,71.1036,123.3817,147.9601,65.2527,78.2515,23.9451,28.715,93.0074,111.535,24.9483,29.9181,34.0811,40.8702,20.0431,24.0358,34.0628,40.8483,129.7276,155.5701,10.6964,12.8272,7.6998,9.2336,100.0876,120.0257
2026-02-26,82.0009,102.4197,14.0876,17.5955,412.017,514.6121,15.2958,19.1046,9.4159,11.7606,79.8271,99.7046,135.4196,169.1401,59.3856,74.1731,123.4598,154.2021,65.3362,81.6054,23.9388,29.8998,93.0317,116.1973,24.9704,31.1882,34.0764,42.5616,20.0264,25.0131,34.051,42.5299,129.7371,162.0425,10.7106,13.3776,7.6922,9.6076,100.1096,125.0376
2026-02-27,82.0994,106.6314,14.1031,18.3173,412.0564,535.1823,15.301,19.873,9.3893,12.1949,79.8786,103.747,135.554,176.0586,59.4792,77.2521,123.5379,160.452,65.4198,84.9677,23.9326,31.0839,93.0561,120.8621,24.9925,32.4605,34.0716,44.2525,20.0097,25.9887,34.0392,44.2104,129.7465,168.5158,10.7247,13.9294,7.6847,9.9809,100.1315,130.0516
2026-02-28,82.1981,110.8531,14.1187,19.0406,412.0958,555.7565,15.3061,20.642,9.3628,12.6268,79.9302,107.7946,135.6884,182.9907,59.5729,80.3406,123.616,166.7098,65.5034,88.3386,23.9264,32.2673,93.0805,125.5292,25.0147,33.7351,34.0669,45.943,19.993,26.9628,34.0274,45.8897,129.7559,174.9901,10.7389,14.4826,7.6771,10.3535,100.1534,135.0679
2026-03-01,82.2968,115.0848,14.1343,19.7656,412.1353,576.3346,15.3113,21.4115,9.3364,13.0561,79.9817,111.8474,135.823,189.9364,59.6668,83.4387,123.6942,172.9754,65.5872,91.7179,23.9201,33.4502,93.1049,130.1989,25.0369,35.0118,34.0622,47.6329,19.9764,27.9352,34.0156,47.5678,129.7653,181.4652,10.7531,15.0373,7.6696,10.7253,100.1754,140.0864
2026-03-02,82.3957,119.3265,14.1499,20.4921,412.1747,596.9166,15.3165,22.1815,9.31,13.4829,80.0334,115.9053,135.9577,196.8957,59.7608,86.5463,123.7725,179.2489,65.6711,95.1057,23.9139,34.6324,93.1292,134.8709,25.0591,36.2908,34.0575,49.3224,19.9597,28.9059,34.0038,49.2448,129.7747,187.9414,10.7674,15.5934,7.6621,11.0964,100.1973,145.107
2026-03-03,82.4947,123.5782,14.1655,21.2202,412.2141,617.5025,15.3217,22.9521,9.2837,13.9072,80.085,119.9685,136.0926,203.8686,59.855,89.6636,123.8508,185.5302,65.7551,98.502,23.9077,35.814,93.1536,139.5455,25.0813,37.5721,34.0527,51.0115,19.9431,29.875,33.992,50.9206,129.7841,194.4184,10.7816,16.151,7.6546,11.4667,100.2193,150.1299
2026-03-04,82.5938,127.84,14.1812,21.9499,412.2535,638.0924,15.3268,23.7231,9.2575,14.3289,80.1367,124.0368,136.2276,210.8552,59.9493,92.7904,123.9291,191.8194,65.8392,101.9069,23.9015,36.9951,93.178,144.2224,25.1035,38.8556,34.048,52.7,19.9265,30.8425,33.9803,52.5952,129.7935,200.8965,10.7959,16.71,7.6471,11.8363,100.2412,155.1549
2026-03-05,82.6931,132.1118,14.1969,22.6811,412.293,658.6862,15.332,24.4947,9.2314,14.7482,80.1884,128.1104,136.3627,217.8554,60.0437,95.9268,124.0075,198.1165,65.9234,105.3203,23.8952,38.1754,93.2024,148.9018,25.1258,40.1414,34.0433,54.3881,19.9099,31.8083,33.9685,54.2687,129.803,207.3754,10.8101,17.2705,7.6396,12.2052,100.2632,160.1821
2026-03-06,82.7924,136.3938,14.2125,23.414,412.3324,679.2839,15.3372,25.2668,9.2053,15.165,80.2402,132.1891,136.498,224.8693,60.1383,99.073,124.086,204.4215,66.0077,108.7422,23.889,39.3552,93.2269,153.5836,25.148,41.4293,34.0386,56.0757,19.8933,32.7726,33.9567,55.9409,129.8124,213.8553,10.8244,17.8324,7.6321,12.5733,100.2851,165.2116
2026-03-07,82.8919,140.6858,14.2282,24.1485,412.3718,699.8856,15.3424,26.0394,9.1793,15.5793,80.292,136.2731,136.6334,231.8969,60.2331,102.2288,124.1645,210.7344,66.0921,112.1728,23.8828,40.5344,93.2513,158.2679,25.1703,42.7196,34.0338,57.7629,19.8767,33.7351,33.945,57.6121,129.8218,220.3361,10.8388,18.3958,7.6247,12.9407,100.3071,170.2432
2026-03-08,82.9915,144.9879,14.244,24.8845,412.4113,720.4912,15.3476,26.8125,9.1534,15.9912,80.3438,140.3623,136.7689,238.9382,60.328,105.3942,124.243,217.0552,66.1766,115.6119,23.8766,41.7129,93.2757,162.9546,25.1927,44.0121,34.0291,59.4496,19.8601,34.6961,33.9332,59.282,129.8312,226.8179,10.8531,18.9606,7.6172,13.3074,100.3291,175.277
2026-03-09,83.0912,144.4499,14.2597,24.7898,412.4507,717.0247,15.3527,26.69,9.1275,15.8678,80.3956,139.7637,136.9046,238.0017,60.423,105.0424,124.3216,216.1269,66.2612,115.1918,23.8704,41.4974,93.3001,162.1975,25.215,43.835,34.0244,59.1497,19.8436,34.4971,33.9215,58.9708,129.8406,225.7214,10.8675,18.8925,7.6097,13.2291,100.3511,174.4552
2026-03-10,83.1911,143.9338,14.2755,24.6988,412.4902,713.6736,15.3579,26.5717,9.1018,15.7475,80.4475,139.187,137.0404,237.1016,60.5182,104.7062,124.4003,215.2322,66.346,114.7891,23.8642,41.2888,93.3246,161.4663,25.2373,43.6646,34.0197,58.8594,19.8271,34.304,33.9097,58.6692,129.8501,224.6612,10.8818,18.8273,7.6023,13.1531,100.373,173.6613
2026-03-11,83.291,143.4388,14.2912,24.6115,412.5297,710.4338,15.3631,26.4575,9.0761,15.6302,80.4994,138.6313,137.1763,236.2368,60.6136,104.3851,124.479,214.3702,66.4308,114.4032,23.8579,41.0867,93.349,160.7601,25.2597,43.5008,34.015,58.5785,19.8105,34.1165,33.898,58.3771,129.8595,223.6362,10.8962,18.7648,7.5948,13.0793,100.395,172.8943
2026-03-12,83.3911,142.9644,14.307,24.5277,412.5691,707.3019,15.3683,26.3472,9.0504,15.5159,80.5514,138.096,137.3124,235.4062,60.7091,104.0787,124.5577,213.5398,66.5158,114.0336,23.8517,40.891,93.3735,160.078,25.2821,43.3432,34.0102,58.3066,19.794,33.9346,33.8862,58.094,129.8689,222.6452,10.9106,18.705,7.5874,13.0077,100.417,172.1533
2026-03-13,83.4913,142.5099,14.3228,24.4474,412.6086,704.2744,15.3735,26.2408,9.0249,15.4044,80.6034,137.5805,137.4486,234.6086,60.8047,103.7865,124.6365,212.7399,66.6009,113.6799,23.8455,40.7015,93.3979,159.4193,25.3045,43.1919,34.0055,58.0434,19.7776,33.758,33.8745,57.8198,129.8783,221.687,10.9251,18.6478,7.5799,12.9381,100.439,171.4376
2026-03-14,83.5916,142.0746,14.3386,24.3703,412.648,701.3477,15.3787,26.1381,8.9994,15.2956,80.6554,137.0841,137.5849,233.843,60.9005,103.5082,124.7154,211.9696,66.686,113.3414,23.8393,40.518,93.4224,158.7832,25.327,43.0464,34.0008,57.7887,19.7611,33.5865,33.8628,57.5541,129.8878,220.7607,10.9395,18.5931,7.5725,12.8705,100.461,170.7462
2026-03-15,83.6921,141.658,14.3545,24.2965,412.6875,698.5186,15.3839,26.0389,8.974,15.1894,80.7074,136.6061,137.7214,233.1085,60.9965,103.2432,124.7943,211.2279,66.7713,113.0177,23.8331,40.3402,93.4468,158.169,25.3494,42.9066,33.9961,57.5421,19.7446,33.4199,33.851,57.2966,129.8972,219.8651,10.954,18.5408,7.5651,12.8048,100.483,170.0785
2026-03-16,83.7926,141.2594,14.3703,24.2258,412.727,695.7839,15.3891,25.9433,8.9486,15.0858,80.7595,136.1461,137.858,232.404,61.0926,102.9912,124.8732,210.5139,66.8567,112.7085,23.8269,40.1679,93.4713,157.5759,25.3719,42.7725,33.9914,57.3034,19.7282,33.2582,33.8393,57.047,129.9066,218.9993,10.9685,18.4909,7.5577,12.7409,100.505,169.4335
2026-03-17,83.8933,140.8784,14.3862,24.1581,412.7665,693.1406,15.3943,25.851,8.9234,14.9846,80.8116,135.7034,137.9948,231.7285,61.1889,102.7518,124.9522,209.8267,66.9422,112.4131,23.8207,40.0011,93.4958,157.0034,25.3944,42.6437,33.9867,57.0723,19.7117,33.101,33.8276,56.8052,129.916,218.1623,10.983,18.4433,7.5503,12.6789,100.5271,168.8107
2026-03-18,83.9941,140.5143,14.4021,24.0934,412.806,690.5856,15.3995,25.7619,8.8982,14.8858,80.8638,135.2775,138.1316,231.0813,61.2853,102.5245,125.0313,209.1655,67.0278,112.1313,23.8145,39.8394,93.5203,156.4507,25.4169,42.5201,33.9819,56.8486,19.6953,32.9484,33.8159,56.5708,129.9255,217.3531,10.9975,18.3978,7.5429,12.6186,100.5491,168.2091
2026-03-19,84.095,140.1666,14.418,24.0314,412.8454,688.116,15.4047,25.676,8.873,14.7893,80.916,134.8679,138.2687,230.4613,61.3818,102.309,125.1104,208.5295,67.1136,111.8625,23.8083,39.6829,93.5448,155.9171,25.4394,42.4015,33.9772,56.632,19.6789,32.8001,33.8042,56.3436,129.9349,216.5708,11.0121,18.3545,7.5355,12.5599,100.5711,167.6283
2026-03-20,84.1961,139.8349,14.4339,23.9722,412.8849,685.7291,15.4099,25.5931,8.848,14.6949,80.9682,134.4739,138.4058,229.8677,61.4785,102.105,125.1895,207.9177,67.1994,111.6063,23.8021,39.5311,93.5693,155.4021,25.462,42.2879,33.9725,56.4224,19.6625,32.6559,33.7925,56.1233,129.9443,215.8146,11.0266,18.3133,7.5281,12.5029,100.5931,167.0675
2026-03-21,84.2973,139.5185,14.4499,23.9157,412.9244,683.4221,15.4151,25.5132,8.823,14.6028,81.0205,134.0952,138.5431,229.2997,61.5754,101.9121,125.2687,207.3295,67.2853,111.3625,23.7959,39.3841,93.5938,154.905,25.4846,42.1789,33.9678,56.2194,19.6461,32.5159,33.7808,55.9098,129.9537,215.0836,11.0412,18.2741,7.5207,12.4474,100.6152,166.5259
2026-03-22,84.3985,139.2171,14.4659,23.8617,412.9639,681.1925,15.4203,25.4361,8.7981,14.5126,81.0727,133.7312,138.6805,228.7564,61.6724,101.73,125.3479,206.764,67.3714,111.1305,23.7897,39.2417,93.6183,154.4253,25.5071,42.0746,33.9631,56.0228,19.6297,32.3797,33.7691,55.7028,129.9632,214.3769,11.0558,18.2368,7.5134,12.3935,100.6372,166.0031
2026-03-23,84.5,138.9302,14.4818,23.8102,413.0034,679.0377,15.4255,25.3618,8.7732,14.4245,81.1251,133.3814,138.8181,228.2372,61.7696,101.5582,125.4272,206.2206,67.4575,110.91,23.7835,39.1036,93.6428,153.9624,25.5298,41.9746,33.9584,55.8325,19.6134,32.2473,33.7574,55.502,129.9726,213.6939,11.0705,18.2014,7.506,12.341,100.6592,165.4985
2026-03-24,84.6015,138.6573,14.4978,23.7612,413.0429,676.9553,15.4307,25.2901,8.7485,14.3383,81.1774,133.0455,138.9558,227.7411,61.8669,101.3966,125.5066,205.6986,67.5438,110.7007,23.7774,38.9698,93.6674,153.5158,25.5524,41.879,33.9537,55.6483,19.5971,32.1185,33.7457,55.3073,129.982,213.0336,11.0851,18.1679,7.4987,12.2899,100.6813,165.0113
2026-03-25,84.7031,138.398,14.5138,23.7144,413.0824,674.9429,15.4359,25.2211,8.7238,14.2539,81.2298,132.7229,139.0936,227.2676,61.9644,101.2448,125.586,205.1972,67.6302,110.5022,23.7712,38.8401,93.6919,153.0849,25.575,41.7875,33.949,55.4698,19.5807,31.9933,33.734,55.1186,129.9915,212.3954,11.0998,18.1361,7.4913,12.2402,100.7034,164.541
2026-03-26,84.8049,138.1518,14.5299,23.67,413.122,672.9982,15.4412,25.1545,8.6991,14.1714,81.2822,132.4132,139.2316,226.8159,62.062,101.1024,125.6654,204.7158,67.7167,110.3142,23.765,38.7144,93.7164,152.6692,25.5977,41.7001,33.9443,55.297,19.5644,31.8715,33.7223,54.9355,130.0009,211.7785,11.1145,18.106,7.484,12.1918,100.7254,164.0872
2026-03-27,84.9068,137.9184,14.5459,23.6277,413.1615,671.119,15.4464,25.0903,8.6746,14.0905,81.3347,132.116,139.3697,226.3852,62.1598,100.9693,125.7449,204.2538,67.8033,110.1363,23.7588,38.5926,93.741,152.2682,25.6204,41.6165,33.9395,55.1297,19.5481,31.753,33.7106,54.7578,130.0103,211.1823,11.1292,18.0776,7.4766,12.1447,100.7475,163.6492
2026-03-28,85.0088,137.6973,14.562,23.5875,413.201,669.3031,15.4516,25.0285,8.6501,14.0114,81.3872,131.831,139.508,225.975,62.2578,100.8451,125.8245,203.8105,67.89,109.9683,23.7526,38.4745,93.7655,151.8814,25.6431,41.5367,33.9348,54.9677,19.5318,31.6377,33.6989,54.5856,130.0198,210.606,11.1439,18.0509,7.4693,12.0988,100.7695,163.2265
2026-03-29,85.111,137.4882,14.5781,23.5494,413.2405,667.5485,15.4568,24.9689,8.6256,13.9339,81.4397,131.5577,139.6463,225.5846,62.3559,100.7296,125.9041,203.3854,67.9768,109.8098,23.7464,38.36,93.7901,151.5085,25.6659,41.4606,33.9301,54.8107,19.5156,31.5254,33.6873,54.4184,130.0292,210.0491,11.1586,18.0256,7.462,12.0541,100.7916,162.8187
2026-03-30,85.2132,137.2907,14.5942,23.5133,413.28,665.8533,15.462,24.9116,8.6013,13.8579,81.4923,131.2957,139.7849,225.2134,62.4541,100.6225,125.9837,202.9778,68.0638,109.6605,23.7402,38.2489,93.8146,151.1488,25.6886,41.388,33.9254,54.6587,19.4993,31.4162,33.6756,54.2562,130.0386,209.5108,11.1734,18.0019,7.4547,12.0106,100.8137,162.4253
2026-03-31,85.3156,137.1044,14.6103,23.4792,413.3196,664.2153,15.4673,24.8563,8.577,13.7835,81.5449,131.0447,139.9235,224.8607,62.5525,100.5235,126.0634,202.5872,68.1508,109.5201,23.7341,38.1413,93.8392,150.8021,25.7114,41.3189,33.9207,54.5115,19.4831,31.3098,33.6639,54.0988,130.0481,208.9906,11.1882,17.9797,7.4474,11.9682,100.8358,162.0457
2026-04-01,85.4181,136.929,14.6265,23.4469,413.3591,662.6329,15.4725,24.8031,8.5528,13.7105,81.5975,130.8044,140.0623,224.526,62.6511,100.4324,126.1432,202.2131,68.238,109.3885,23.7279,38.0368,93.8638,150.4678,25.7342,41.253,33.916,54.3689,19.4668,31.2062,33.6523,53.9461,130.0575,208.4879,11.203,17.9588,7.4401,11.9268,100.8579,161.6796
2026-04-02,85.5208,136.7642,14.6426,23.4164,413.3987,661.104,15.4777,24.7518,8.5286,13.6389,81.6501,130.5743,140.2012,224.2088,62.7498,100.349,126.223,201.8549,68.3253,109.2652,23.7217,37.9356,93.8884,150.1456,25.757,41.1904,33.9113,54.2307,19.4506,31.1053,33.6406,53.7978,130.0669,208.0021,11.2178,17.9394,7.4328,11.8865,100.88,161.3265
2026-04-03,85.6235,136.6096,14.6588,23.3876,413.4382,659.6271,15.4829,24.7025,8.5045,13.5687,81.7028,130.3542,140.3403,223.9084,62.8486,100.273,126.3028,201.512,68.4126,109.1501,23.7155,37.8374,93.913,149.8351,25.7798,41.1309,33.9066,54.0969,19.4344,31.0069,33.629,53.6539,130.0764,207.5326,11.2326,17.9213,7.4255,11.8472,100.9021,160.9859
2026-04-04,85.7264,136.4648,14.675,23.3606,413.4777,658.2004,15.4882,24.6551,8.4805,13.4998,81.7556,130.1438,140.4795,223.6243,62.9477,100.2041,126.3827,201.1842,68.5001,109.0429,23.7094,37.7421,93.9376,149.5359,25.8027,41.0744,33.9019,53.9672,19.4182,30.9111,33.6173,53.5142,130.0858,207.0789,11.2475,17.9045,7.4183,11.8089,100.9242,160.6576
2026-04-05,85.8294,136.3297,14.6912,23.3352,413.5173,656.8223,15.4934,24.6094,8.4566,13.4323,81.8083,129.9427,140.6189,223.3561,63.0468,100.1423,126.4627,200.8707,68.5877,108.9433,23.7032,37.6497,93.9622,149.2476,25.8256,41.0208,33.8972,53.8416,19.402,30.8178,33.6057,53.3786,130.0952,206.6406,11.2624,17.8889,7.411,11.7715,100.9463,160.341
2026-04-06,85.9326,136.2038,14.7074,23.3114,413.5569,655.4912,15.4986,24.5655,8.4327,13.3659,81.8611,129.7506,140.7583,223.1032,63.1462,100.0872,126.5427,200.5713,68.6754,108.8512,23.697,37.56,93.9868,148.9699,25.8485,40.97,33.8925,53.7199,19.3859,30.7268,33.594,53.2468,130.1047,206.217,11.2773,17.8746,7.4037,11.735,100.9684,160.0358
2026-04-07,86.0358,136.087,14.7237,23.2891,413.5964,654.2055,15.5039,24.5232,8.4089,13.3007,81.914,129.5673,140.898,222.8651,63.2457,100.0388,126.6227,200.2853,68.7633,108.7662,23.6909,37.473,94.0114,148.7024,25.8714,40.922,33.8878,53.602,19.3697,30.638,33.5824,53.1189,130.1141,205.8078,11.2922,17.8614,7.3965,11.6994,100.9905,159.7416
2026-04-08,86.1392,135.9789,14.7399,23.2684,413.636,652.9637,15.5091,24.4826,8.3851,13.2367,81.9668,129.3924,141.0377,222.6415,63.3453,99.9966,126.7028,200.0125,68.8512,108.6882,23.6847,37.3885,94.036,148.4448,25.8943,40.8766,33.8831,53.4877,19.3536,30.5515,33.5708,52.9947,130.1236,205.4124,11.3071,17.8494,7.3892,11.6646,101.0126,159.458
2026-04-09,86.2427,135.8793,14.7562,23.2491,413.6755,651.7645,15.5144,24.4436,8.3615,13.1739,82.0197,129.2258,141.1776,222.4317,63.4451,99.9607,126.783,199.7523,68.9393,108.6169,23.6785,37.3066,94.0607,148.1968,25.9173,40.8338,33.8784,53.3769,19.3374,30.467,33.5591,52.8739,130.133,205.0304,11.3221,17.8384,7.382,11.6307,101.0347,159.1848
2026-04-10,86.3463,135.7878,14.7725,23.2312,413.7151,650.6064,15.5196,24.406,8.3378,13.1121,82.0727,129.0671,141.3177,222.2355,63.5451,99.9307,126.8632,199.5045,69.0274,108.5522,23.6724,37.227,94.0853,147.9581,25.9402,40.7935,33.8737,53.2696,19.3213,30.3846,33.5475,52.7567,130.1424,204.6614,11.3371,17.8286,7.3748,11.5975,101.0569,158.9216
