date,XOM_baseline,XOM_impacted,CVX_baseline,CVX_impacted,COP_baseline,COP_impacted,PXD_baseline,PXD_impacted,EOG_baseline,EOG_impacted,MPC_baseline,MPC_impacted,VLO_baseline,VLO_impacted,PSX_baseline,PSX_impacted,SLB_baseline,SLB_impacted,HAL_baseline,HAL_impacted,OXY_baseline,OXY_impacted,DVN_baseline,DVN_impacted,HES_baseline,HES_impacted,BKR_baseline,BKR_impacted,FANG_baseline,FANG_impacted,APA_baseline,APA_impacted,MRO_baseline,MRO_impacted,OVV_baseline,OVV_impacted,CTRA_baseline,CTRA_impacted,RRC_baseline,RRC_impacted
2026-02-22,147.4042,150.8383,184.0239,188.3112,110.5539,113.1295,100.0219,102.3522,123.0632,125.9303,196.9062,201.4936,200.9814,205.6638,155.8749,159.5064,50.8856,52.0711,35.1318,35.9503,51.8422,53.05,44.4127,45.4474,100.0219,102.3522,62.2634,63.714,176.0182,180.1189,29.0758,29.7532,100.0219,102.3522,50.5986,51.7774,31.289,32.018,39.7112,40.6364
2026-02-23,147.5284,154.4025,184.1179,192.6969,110.5778,115.7302,100.0438,104.7054,123.0464,128.7797,197.0526,206.2342,201.203,210.5781,155.9999,163.2687,50.9213,53.294,35.1536,36.7916,51.8444,54.2601,44.4355,46.5059,100.0438,104.7054,62.3169,65.2206,176.0263,184.2283,29.0916,30.4471,100.0438,104.7054,50.6172,52.9757,31.298,32.7563,39.7124,41.5628
2026-02-24,147.6528,157.9726,184.212,197.087,110.6017,118.3319,100.0657,107.0596,123.0296,131.6284,197.199,210.9817,201.4249,215.503,156.1249,167.0369,50.957,54.5185,35.1755,37.634,51.8467,55.4704,44.4582,47.5655,100.0657,107.0596,62.3704,66.7297,176.0345,188.338,29.1074,31.1418,100.0657,107.0596,50.6359,54.1749,31.307,33.4951,39.7136,42.4892
2026-02-25,147.7773,161.5486,184.306,201.4815,110.6256,120.9348,100.0876,109.4148,123.0128,134.4763,197.3456,215.7362,201.6471,220.4385,156.2501,170.811,50.9927,55.7447,35.1973,38.4774,51.8489,56.6807,44.481,48.6261,100.0876,109.4148,62.424,68.2413,176.0426,192.448,29.1233,31.8373,100.0876,109.4148,50.6545,55.375,31.316,34.2343,39.7147,43.4158
2026-02-26,147.9018,165.1305,184.4002,205.8805,110.6495,123.5388,100.1096,111.7711,122.996,137.3234,197.4922,220.4976,201.8695,225.3847,156.3754,174.5912,51.0285,56.9726,35.2192,39.3218,51.8511,57.8911,44.5037,49.6879,100.1096,111.7711,62.4776,69.7555,176.0508,196.5585,29.1391,32.5334,100.1096,111.7711,50.6731,56.5759,31.325,34.974,39.7159,44.3423
2026-02-27,148.0265,168.7184,184.4944,210.2839,110.6735,126.1439,100.1315,114.1284,122.9792,140.1698,197.639,225.2659,202.0921,230.3415,156.5008,178.3772,51.0642,58.2022,35.2411,40.1672,51.8533,59.1017,44.5265,50.7506,100.1315,114.1284,62.5313,71.2722,176.059,200.6693,29.155,33.2304,100.1315,114.1284,50.6918,57.7777,31.334,35.714,39.7171,45.269
2026-02-28,148.1513,172.3122,184.5886,214.6917,110.6974,128.7502,100.1534,116.4867,122.9624,143.0154,197.7859,230.0412,202.315,235.3089,156.6263,182.1692,51.1,59.4335,35.263,41.0137,51.8556,60.3123,44.5493,51.8145,100.1534,116.4867,62.585,72.7915,176.0671,204.7806,29.1708,33.9281,100.1534,116.4867,50.7105,58.9804,31.343,36.4545,39.7183,46.1957
2026-03-01,148.2762,175.9119,184.6829,219.104,110.7213,131.3575,100.1754,118.846,122.9456,145.8601,197.9329,234.8235,202.5381,240.2871,156.7518,185.9672,51.1358,60.6665,35.2849,41.8613,51.8578,61.523,44.5721,52.8795,100.1754,118.846,62.6388,74.3133,176.0753,208.8922,29.1867,34.6265,100.1754,118.846,50.7291,60.184,31.3521,37.1954,39.7195,47.1224
2026-03-02,148.4012,179.5175,184.7772,223.5207,110.7453,133.966,100.1973,121.2064,122.9288,148.7041,198.08,239.6128,202.7614,245.2759,156.8775,189.7712,51.1717,61.9012,35.3068,42.7098,51.86,62.7339,44.5949,53.9455,100.1973,121.2064,62.6926,75.8378,176.0835,213.0042,29.2025,35.3257,100.1973,121.2064,50.7478,61.3884,31.3611,37.9368,39.7207,48.0492
2026-03-03,148.5263,183.1292,184.8716,227.9419,110.7692,136.5756,100.2193,123.5678,122.912,151.5474,198.2272,244.4091,202.9851,250.2754,157.0033,193.5811,51.2076,63.1376,35.3287,43.5594,51.8622,63.9448,44.6178,55.0126,100.2193,123.5678,62.7464,77.3647,176.0916,217.1165,29.2184,36.0256,100.2193,123.5678,50.7665,62.5938,31.3701,38.6785,39.7219,48.9761
2026-03-04,148.6515,186.7467,184.966,232.3676,110.7931,139.1863,100.2412,125.9303,122.8952,154.3898,198.3745,249.2123,203.2089,255.2857,157.1292,197.397,51.2434,64.3757,35.3507,44.4101,51.8645,65.1559,44.6406,56.0807,100.2412,125.9303,62.8003,78.8943,176.0998,221.2293,29.2343,36.7263,100.2412,125.9303,50.7852,63.8,31.3791,39.4207,39.7231,49.903
2026-03-05,148.7768,190.3703,185.0604,236.7977,110.8171,141.7982,100.2632,128.2937,122.8784,157.2315,198.5219,254.0226,203.433,260.3067,157.2552,201.2189,51.2794,65.6155,35.3726,45.2618,51.8667,66.3671,44.6635,57.15,100.2632,128.2937,62.8542,80.4264,176.108,225.3424,29.2502,37.4277,100.2632,128.2937,50.8038,65.0071,31.3882,40.1633,39.7243,50.8299
2026-03-06,148.9022,193.9998,185.155,241.2323,110.8411,144.4112,100.2851,130.6582,122.8616,160.0724,198.6694,258.8399,203.6574,265.3385,157.3813,205.0469,51.3153,66.857,35.3946,46.1145,51.8689,67.5783,44.6863,58.2203,100.2851,130.6582,62.9082,81.9611,176.1161,229.4559,29.2661,38.1299,100.2851,130.6582,50.8225,66.215,31.3972,40.9064,39.7254,51.757
2026-03-07,149.0278,197.6353,185.2495,245.6714,110.865,147.0253,100.3071,133.0237,122.8449,162.9125,198.8171,263.6642,203.882,270.381,157.5075,208.8808,51.3513,68.1002,35.4166,46.9682,51.8711,68.7897,44.7092,59.2917,100.3071,133.0237,62.9623,83.4983,176.1243,233.5698,29.282,38.8328,100.3071,133.0237,50.8412,67.4239,31.4062,41.6498,39.7266,52.684
2026-03-08,149.1534,201.2768,185.3441,250.1149,110.889,149.6405,100.3291,135.3903,122.8281,165.7518,198.9648,268.4955,204.1068,275.4344,157.6337,212.7207,51.3873,69.3452,35.4386,47.8231,51.8734,70.0011,44.7321,60.3642,100.3291,135.3903,63.0163,85.0382,176.1325,237.6841,29.298,39.5365,100.3291,135.3903,50.86,68.6336,31.4152,42.3937,39.7278,53.6112
2026-03-09,149.2791,200.8479,185.4388,249.499,110.913,149.2281,100.3511,135.0175,122.8113,165.2367,199.1127,267.8966,204.3319,274.9188,157.7601,212.2587,51.4233,69.1876,35.4606,47.7106,51.8756,69.7961,44.755,60.2157,100.3511,135.0175,63.0705,84.8583,176.1406,236.9888,29.3139,39.4405,100.3511,135.0175,50.8787,68.4548,31.4243,42.2799,39.729,53.4535
2026-03-10,149.405,200.4378,185.5335,248.9069,110.9369,148.8301,100.373,134.6578,122.7945,164.7379,199.2607,267.3229,204.5573,274.4287,157.8866,211.8165,51.4593,69.0365,35.4827,47.6026,51.8778,69.5979,44.7779,60.0728,100.373,134.6578,63.1246,84.6864,176.1488,236.3166,29.3298,39.3481,100.373,134.6578,50.8974,68.2826,31.4333,42.1701,39.7302,53.301
2026-03-11,149.5309,200.0458,185.6283,248.3377,110.9609,148.446,100.395,134.3107,122.7778,164.2548,199.4088,266.7735,204.7829,273.9631,158.0132,211.3936,51.4954,68.8917,35.5047,47.499,51.8801,69.4063,44.8008,59.9355,100.395,134.3107,63.1789,84.5221,176.157,235.6668,29.3458,39.2595,100.395,134.3107,50.9161,68.1168,31.4424,42.0643,39.7314,53.1535
2026-03-12,149.657,199.6715,185.7231,247.7907,110.9849,148.0754,100.417,133.9758,122.761,163.787,199.557,266.2478,205.0087,273.5214,158.1399,210.9894,51.5315,68.753,35.5268,47.3996,51.8823,69.221,44.8237,59.8036,100.417,133.9758,63.2331,84.3653,176.1652,235.0385,29.3618,39.1743,100.417,133.9758,50.9349,67.957,31.4514,41.9623,39.7326,53.011
2026-03-13,149.7831,199.3142,185.8179,247.2651,111.0089,147.7179,100.439,133.6527,122.7442,163.3339,199.7053,265.7448,205.2348,273.1028,158.2667,210.6031,51.5676,68.6203,35.5488,47.3043,51.8845,69.0419,44.8467,59.6768,100.439,133.6527,63.2874,84.2156,176.1733,234.4312,29.3777,39.0925,100.439,133.6527,50.9536,67.8032,31.4605,41.864,39.7338,52.8731
2026-03-14,149.9094,198.9734,185.9128,246.7604,111.0329,147.3729,100.461,133.341,122.7275,162.895,199.8537,265.2639,205.4611,272.7066,158.3936,210.2343,51.6038,68.4932,35.5709,47.2129,51.8867,68.8688,44.8696,59.5551,100.461,133.341,63.3418,84.073,176.1815,233.8441,29.3937,39.014,100.461,133.341,50.9724,67.6552,31.4695,41.7692,39.7349,52.7398
