date,NUE_baseline,NUE_impacted,STLD_baseline,STLD_impacted,CLF_baseline,CLF_impacted,X_baseline,X_impacted,AA_baseline,AA_impacted,FCX_baseline,FCX_impacted,ATI_baseline,ATI_impacted,CMC_baseline,CMC_impacted,SCCO_baseline,SCCO_impacted,WPM_baseline,WPM_impacted,AEM_baseline,AEM_impacted,NEM_baseline,NEM_impacted,GOLD_baseline,GOLD_impacted,KGC_baseline,KGC_impacted,MP_baseline,MP_impacted,CENX_baseline,CENX_impacted,HL_baseline,HL_impacted,PAAS_baseline,PAAS_impacted,AGI_baseline,AGI_impacted,CRUS_baseline,CRUS_impacted
2026-02-22,180.1933,177.0214,193.6138,190.2056,10.6511,10.4636,100.0219,98.2612,60.5668,59.5006,64.4214,63.2873,159.2812,156.4773,76.8891,75.5356,201.4201,197.8745,150.7473,148.0936,228.8388,224.8105,122.4752,120.3192,58.9342,57.8967,33.5468,32.9562,55.4853,54.5086,52.7679,51.839,24.11,23.6856,64.8804,63.7383,47.9474,47.1034,142.2603,139.756
2026-02-23,180.3768,174.0265,193.8379,187.0136,10.6522,10.2772,100.0438,96.5217,60.6437,58.5087,64.5028,62.2319,159.6934,154.0712,76.9783,74.2682,201.831,194.7253,151.1154,145.7952,229.419,221.3421,122.8213,118.4973,59.0486,56.9697,33.6438,32.4593,55.6309,53.6724,52.8961,51.0338,24.2004,23.3484,65.0613,62.7708,48.055,46.3632,142.3806,137.368
2026-02-24,180.5605,171.0253,194.0622,183.8139,10.6533,10.0907,100.0657,94.7813,60.7207,57.5141,64.5844,61.1737,160.1067,151.6516,77.0676,72.9978,202.2428,191.5625,151.4844,143.4847,230.0008,217.8546,123.1685,116.664,59.1632,56.0388,33.7411,31.9593,55.777,52.8314,53.0246,50.2244,24.2911,23.0083,65.2428,61.7973,48.1628,45.6194,142.5011,134.9757
2026-02-25,180.7444,168.0178,194.2868,180.6066,10.6544,9.9042,100.0876,93.0403,60.7978,56.5168,64.666,60.1127,160.5211,149.2185,77.1571,71.7243,202.6554,188.386,151.8544,141.162,230.584,214.348,123.5166,114.8195,59.278,55.1041,33.8387,31.4561,55.9234,51.9857,53.1534,49.4108,24.3822,22.6654,65.4247,60.818,48.2709,44.8721,142.6217,132.5794
2026-02-26,180.9285,165.004,194.5117,177.3917,10.6555,9.7176,100.1096,91.2984,60.8749,55.517,64.7478,59.049,160.9366,146.7717,77.2466,70.4477,203.0688,185.1957,152.2252,138.8271,231.1686,210.8223,123.8657,112.9636,59.3931,54.1656,33.9366,30.9497,56.0702,51.1351,53.2826,48.5929,24.4736,22.3195,65.6071,59.8327,48.3793,44.1212,142.7423,130.1788
2026-02-27,181.1128,161.9839,194.7368,174.169,10.6566,9.5311,100.1315,89.5558,60.9522,54.5145,64.8297,57.9825,161.3531,144.3113,77.3362,69.1681,203.4831,181.9916,152.597,136.4799,231.7548,207.2772,124.2157,111.0963,59.5083,53.2232,34.0348,30.4401,56.2174,50.2798,53.412,47.7707,24.5653,21.9708,65.7901,58.8414,48.4879,43.3666,142.8631,127.7741
2026-02-28,181.2972,158.9575,194.9621,170.9386,10.6577,9.3444,100.1534,87.8124,61.0296,53.5094,64.9116,56.9131,161.7707,141.8371,77.4259,67.8854,203.8983,178.7736,152.9697,134.1205,232.3424,203.7129,124.5668,109.2175,59.6238,52.2769,34.1332,29.9273,56.3649,49.4196,53.5418,46.9443,24.6574,21.6191,65.9735,57.8442,48.5967,42.6085,142.984,125.3653
2026-03-01,181.4819,155.9248,195.1878,167.7005,10.6588,9.1578,100.1754,86.0682,61.1071,52.5017,64.9937,55.841,162.1894,139.3492,77.5158,66.5997,204.3143,175.5418,153.3432,131.7487,232.9316,200.1291,124.9189,107.3272,59.7396,51.3268,34.232,29.4113,56.5129,48.5545,53.6719,46.1136,24.7498,21.2644,66.1575,56.8409,48.7057,41.8468,143.105,122.9523
2026-03-02,181.6667,152.8857,195.4137,164.4547,10.6599,8.9711,100.1973,84.3233,61.1846,51.4913,65.0759,54.7661,162.6092,136.8474,77.6057,65.3108,204.7311,172.296,153.7177,129.3646,233.5222,196.5258,125.2719,105.4254,59.8555,50.3727,34.331,28.892,56.6612,47.6845,53.8023,45.2785,24.8426,20.9068,66.342,55.8316,48.8151,41.0814,143.2261,120.5351
2026-03-03,181.8517,149.8403,195.6398,161.2012,10.661,8.7843,100.2193,82.5776,61.2623,50.4783,65.1582,53.6883,163.03,134.3318,77.6958,64.0189,205.1488,169.0363,154.0931,126.968,234.1143,192.903,125.626,103.512,59.9717,49.4148,34.4303,28.3695,56.81,46.8097,53.933,44.4392,24.9357,20.5463,66.527,54.8162,48.9246,40.3124,143.3473,118.1137
