id,date,JNJ_baseline,JNJ_impacted,PFE_baseline,PFE_impacted,MRK_baseline,MRK_impacted,ABBV_baseline,ABBV_impacted,LLY_baseline,LLY_impacted,BMY_baseline,BMY_impacted,AMGN_baseline,AMGN_impacted,GILD_baseline,GILD_impacted,BIIB_baseline,BIIB_impacted,VRTX_baseline,VRTX_impacted,REGN_baseline,REGN_impacted,ALNY_baseline,ALNY_impacted,INCY_baseline,INCY_impacted,EXAS_baseline,EXAS_impacted,IONS_baseline,IONS_impacted,NBIX_baseline,NBIX_impacted,ACAD_baseline,ACAD_impacted,EXEL_baseline,EXEL_impacted,SRPT_baseline,SRPT_impacted,HZNP_baseline,HZNP_impacted
1,2026-02-22,242.8213,246.7984,26.6564,27.093,122.3338,124.3375,224.9729,228.6576,1010.3104,1026.8579,60.6803,61.6742,375.1039,381.2476,151.6032,154.0863,192.1714,195.3189,477.0754,484.8893,779.9165,792.6905,336.4716,341.9825,101.4068,103.0677,103.5972,105.294,83.3443,84.7093,128.6039,130.7103,24.011,24.4043,43.652,44.367,18.7934,19.1012,100.0219,101.6601
2,2026-02-23,243.153,251.118,26.6627,27.5361,122.4076,126.4174,225.1359,232.5107,1011.1013,1044.2223,60.7006,62.689,375.4581,387.7571,151.8067,156.7795,192.3128,198.6125,477.2509,492.8843,780.163,805.7191,336.7534,347.7845,101.4937,104.8184,103.7647,107.1638,83.539,86.2755,128.5778,132.7897,24.0321,24.8193,43.6741,45.1047,18.7072,19.3199,100.0438,103.321
3,2026-02-24,243.4851,255.449,26.6691,27.9795,122.4815,128.4998,225.299,236.3693,1011.8929,1061.6133,60.7209,63.7045,375.8126,394.2786,152.0105,159.4797,192.4544,201.9109,477.4264,500.8852,780.4097,818.7559,337.0355,353.596,101.5806,106.5719,103.9325,109.0393,83.7342,87.8486,128.5517,134.8682,24.0531,25.235,43.6961,45.8432,18.6213,19.5363,100.0657,104.9826
4,2026-02-25,243.8178,259.7914,26.6755,28.4231,122.5555,130.5846,225.4622,240.2333,1012.6852,1079.0309,60.7413,64.7207,376.1675,400.812,152.2146,162.1869,192.5961,205.214,477.602,508.8919,780.6564,831.8009,337.3177,359.417,101.6677,108.3284,104.1005,110.9206,83.9298,89.4285,128.5256,136.9459,24.0742,25.6514,43.7182,46.5824,18.5359,19.7503,100.0876,106.6449
5,2026-02-26,244.1508,264.1452,26.6818,28.8669,122.6294,132.672,225.6255,244.1028,1013.478,1096.4751,60.7616,65.7376,376.5227,407.3574,152.4189,164.901,192.7379,208.5218,477.7777,516.9045,780.9032,844.854,337.6003,365.2475,101.7548,110.0878,104.2688,112.8077,84.1259,91.0153,128.4995,139.0228,24.0953,26.0685,43.7403,47.3223,18.4508,19.9618,100.1096,108.3079
6,2026-02-27,244.4844,268.5103,26.6882,29.3109,122.7035,134.7618,225.789,247.9777,1014.2714,1113.9459,60.7819,66.7551,376.8783,413.9148,152.6235,167.6221,192.8798,211.8344,477.9534,524.9228,781.1501,857.9153,337.883,371.0875,101.842,111.8502,104.4374,114.7006,84.3225,92.609,128.4735,141.0988,24.1164,26.4863,43.7624,48.063,18.3662,20.1711,100.1315,109.9716
7,2026-02-28,244.8183,272.8869,26.6946,29.7551,122.7775,136.854,225.9526,251.8582,1015.0655,1131.4434,60.8023,67.7733,377.2341,420.4843,152.8284,170.3503,193.0218,215.1518,478.1292,532.947,781.397,870.9847,338.166,376.937,101.9292,113.6155,104.6062,116.5994,84.5195,94.2097,128.4474,143.174,24.1375,26.9049,43.7845,48.8044,18.2819,20.378,100.1534,111.6361
8,2026-03-01,245.1528,277.275,26.701,30.1996,122.8516,138.9488,226.1163,255.7441,1015.8602,1148.9677,60.8226,68.7922,377.5904,427.0658,153.0335,173.0854,193.1639,218.474,478.3051,540.9771,781.6441,884.0624,338.4493,382.796,102.0165,115.3837,104.7753,118.504,84.717,95.8174,128.4213,145.2483,24.1587,27.3242,43.8066,49.5466,18.1981,20.5825,100.1754,113.3013
9,2026-03-02,245.4877,281.6745,26.7073,30.6442,122.9258,141.046,226.2801,259.6356,1016.6555,1166.5187,60.843,69.8117,377.9469,433.6593,153.239,175.8276,193.3061,221.8009,478.481,549.0129,781.8912,897.1482,338.7327,388.6646,102.104,117.1549,104.9447,120.4144,84.9149,97.4321,128.3952,147.3217,24.1798,27.7441,43.8287,50.2894,18.1146,20.7848,100.1973,114.9672
10,2026-03-03,245.823,286.0856,26.7137,31.0891,123.0,143.1457,226.444,263.5325,1017.4515,1184.0964,60.8633,70.8319,378.3038,440.2649,153.4447,178.5769,193.4484,225.1326,478.657,557.0546,782.1384,910.2422,339.0164,394.5428,102.1914,118.929,105.1144,122.3307,85.1133,99.0537,128.3692,149.3943,24.201,28.1648,43.8509,51.0331,18.0314,20.9848,100.2193,116.6338
