date,Minerals_FCX_base,Minerals_FCX_imp,Minerals_NEM_base,Minerals_NEM_imp,Minerals_GOLD_base,Minerals_GOLD_imp,Minerals_AEM_base,Minerals_AEM_imp,Minerals_WPM_base,Minerals_WPM_imp,Maritime_ZIM_base,Maritime_ZIM_imp,Maritime_MATX_base,Maritime_MATX_imp,Maritime_KEX_base,Maritime_KEX_imp,Maritime_STNG_base,Maritime_STNG_imp,Maritime_FRO_base,Maritime_FRO_imp,Lumber_WY_base,Lumber_WY_imp,Lumber_PCH_base,Lumber_PCH_imp,Lumber_IP_base,Lumber_IP_imp,Lumber_PKG_base,Lumber_PKG_imp,Lumber_SLVM_base,Lumber_SLVM_imp
2026-02-22,64.4214,62.1833,122.4752,118.2202,58.9342,56.8867,228.8388,220.8886,150.7473,145.5101,29.3228,28.3768,167.8249,162.4102,131.0092,126.7824,71.7083,69.3947,34.7769,33.6549,25.2735,24.4584,41.7397,40.3936,46.8551,45.344,237.2363,229.5854,48.6464,47.0775
2026-02-23,64.5028,60.021,122.8213,114.2873,59.0486,54.9457,229.419,213.4783,151.1154,140.6154,29.3758,27.4802,167.8998,157.0657,131.0785,122.6203,71.7566,67.1263,34.8339,32.5862,25.267,23.6372,41.7494,39.0565,46.8401,43.8189,237.2626,221.9591,48.5928,45.4585
2026-02-24,64.5844,57.8531,123.1685,110.3313,59.1632,52.9969,230.0008,206.029,151.4844,135.696,29.4288,26.5804,167.9748,151.7163,131.1477,118.4538,71.8049,64.8548,34.891,31.5139,25.2604,22.8165,41.7591,37.7188,46.8252,42.2948,237.2889,214.3311,48.5392,43.843
2026-02-25,64.666,55.6796,123.5166,106.3519,59.278,51.0404,230.584,198.5406,151.8544,130.7518,29.4819,25.6772,168.0497,146.3621,131.2171,114.2829,71.8533,62.5803,34.9482,30.438,25.2539,21.9961,41.7688,36.3806,46.8102,40.7717,237.3153,206.7013,48.4858,42.231
2026-02-26,64.7478,53.5006,123.8657,102.3492,59.3931,49.076,231.1686,191.0129,152.2252,125.7826,29.5352,24.7706,168.1248,141.0032,131.2864,110.1075,71.9017,60.3026,35.0055,29.3585,25.2474,21.1762,41.7785,35.0416,46.7953,39.2495,237.3416,199.0699,48.4323,40.6226
2026-02-27,64.8297,51.316,124.2157,98.3231,59.5083,47.1039,231.7548,183.4457,152.597,120.7883,29.5885,23.8607,168.1998,135.6394,131.3558,105.9277,71.9501,58.0219,35.0629,28.2753,25.2409,20.3567,41.7882,33.7021,46.7804,37.7283,237.3679,191.4368,48.379,39.0176
2026-02-28,64.9116,49.1257,124.5668,94.2733,59.6238,45.1239,232.3424,175.8389,152.9697,115.7689,29.6419,22.9474,168.2749,130.2707,131.4253,101.7434,71.9986,55.738,35.1204,27.1886,25.2344,19.5377,41.7979,32.3619,46.7655,36.2081,237.3942,183.8021,48.3257,37.4161
2026-03-01,64.9937,46.9299,124.9189,90.1999,59.7396,43.136,232.9316,168.1924,153.3432,110.7242,29.6954,22.0307,168.35,124.8973,131.4947,97.5547,72.0471,53.451,35.1779,26.0982,25.2279,18.719,41.8076,31.0211,46.7506,34.6888,237.4206,176.1656,48.2725,35.8181
2026-03-02,65.0759,44.7284,125.2719,86.1027,59.8555,41.1403,233.5222,160.5059,153.7177,105.6542,29.749,21.1107,168.4252,119.519,131.5642,93.3615,72.0956,51.161,35.2356,25.0041,25.2214,17.9008,41.8173,29.6797,46.7356,33.1705,237.4469,168.5274,48.2193,34.2235
2026-03-03,65.1582,42.5212,125.626,81.9816,59.9717,39.1366,234.1143,152.7794,154.0931,100.5588,29.8027,20.1873,168.5004,114.136,131.6338,89.1639,72.1442,48.8678,35.2933,23.9064,25.2149,17.083,41.827,28.3377,46.7207,31.6532,237.4733,160.8875,48.1662,32.6324
